Denmark, Period fertility rates by calendar year, age and birth order (Lexis squares, age in completed years (ACY))
Last modified: 14/03/2023
Year    Age        ASFR       ASFR1       ASFR2       ASFR3       ASFR4      ASFR5p
1968     12-    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1968     13     0.00002     0.00002     0.00000     0.00000     0.00000     0.00000
1968     14     0.00031     0.00031     0.00000     0.00000     0.00000     0.00000
1968     15     0.00187     0.00187     0.00000     0.00000     0.00000     0.00000
1968     16     0.01405     0.01383     0.00022     0.00000     0.00000     0.00000
1968     17     0.03709     0.03574     0.00129     0.00006     0.00000     0.00000
1968     18     0.06902     0.06306     0.00575     0.00021     0.00000     0.00000
1968     19     0.09828     0.08226     0.01473     0.00126     0.00003     0.00000
1968     20     0.11803     0.08925     0.02572     0.00288     0.00017     0.00000
1968     21     0.13504     0.08830     0.04015     0.00595     0.00063     0.00002
1968     22     0.14854     0.08913     0.04888     0.00870     0.00168     0.00014
1968     23     0.15550     0.08289     0.05749     0.01249     0.00239     0.00024
1968     24     0.15335     0.07360     0.06074     0.01474     0.00361     0.00066
1968     25     0.15759     0.06420     0.06761     0.01982     0.00468     0.00128
1968     26     0.14447     0.05081     0.06329     0.02300     0.00573     0.00163
1968     27     0.13774     0.03999     0.06345     0.02538     0.00671     0.00221
1968     28     0.11999     0.02932     0.05362     0.02653     0.00772     0.00279
1968     29     0.10765     0.02173     0.04623     0.02734     0.00844     0.00391
1968     30     0.08949     0.01531     0.03508     0.02516     0.01025     0.00369
1968     31     0.07982     0.01296     0.02813     0.02496     0.00884     0.00493
1968     32     0.06698     0.00886     0.02153     0.02129     0.00959     0.00571
1968     33     0.05737     0.00745     0.01577     0.01841     0.00955     0.00618
1968     34     0.05086     0.00566     0.01295     0.01631     0.00967     0.00628
1968     35     0.04024     0.00433     0.00816     0.01173     0.00896     0.00706
1968     36     0.03308     0.00364     0.00687     0.00997     0.00669     0.00590
1968     37     0.02925     0.00291     0.00557     0.00911     0.00649     0.00518
1968     38     0.02223     0.00262     0.00416     0.00653     0.00455     0.00437
1968     39     0.01636     0.00204     0.00299     0.00443     0.00285     0.00405
1968     40     0.01177     0.00137     0.00183     0.00323     0.00221     0.00313
1968     41     0.00806     0.00062     0.00113     0.00168     0.00178     0.00285
1968     42     0.00597     0.00067     0.00060     0.00107     0.00164     0.00198
1968     43     0.00382     0.00046     0.00046     0.00062     0.00076     0.00151
1968     44     0.00183     0.00010     0.00020     0.00020     0.00049     0.00085
