Finland, Period fertility rates by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 06/09/2023
Year    Age        ASFR
1939     12-    0.00000
1939     13     0.00000
1939     14     0.00003
1939     15     0.00026
1939     16     0.00174
1939     17     0.00825
1939     18     0.02578
1939     19     0.04886
1939     20     0.07710
1939     21     0.10230
1939     22     0.11775
1939     23     0.13171
1939     24     0.13746
1939     25     0.14298
1939     26     0.13963
1939     27     0.14139
1939     28     0.14061
1939     29     0.13454
1939     30     0.12945
1939     31     0.11755
1939     32     0.11333
1939     33     0.10541
1939     34     0.09914
1939     35     0.09473
1939     36     0.08492
1939     37     0.08270
1939     38     0.07548
1939     39     0.06908
1939     40     0.06155
1939     41     0.04882
1939     42     0.03943
1939     43     0.03033
1939     44     0.02285
1939     45     0.01314
1939     46     0.00668
1939     47     0.00261
1939     48     0.00132
1939     49     0.00062
1939     50     0.00020
1939     51     0.00015
1939     52     0.00015
1939     53     0.00000
1939     54     0.00000
1939     55+    0.00006
1940     12-    0.00000
1940     13     0.00000
1940     14     0.00000
1940     15     0.00027
1940     16     0.00151
1940     17     0.00692
1940     18     0.02029
1940     19     0.04450
1940     20     0.06393
1940     21     0.08319
1940     22     0.09841
1940     23     0.10593
1940     24     0.11308
1940     25     0.11973
1940     26     0.11762
1940     27     0.11687
1940     28     0.11148
1940     29     0.10874
1940     30     0.10710
1940     31     0.09905
1940     32     0.09424
1940     33     0.09041
1940     34     0.08521
1940     35     0.08125
1940     36     0.07590
1940     37     0.06681
1940     38     0.06425
1940     39     0.06144
1940     40     0.05434
1940     41     0.04571
1940     42     0.03572
1940     43     0.02950
1940     44     0.01884
1940     45     0.01246
1940     46     0.00660
1940     47     0.00309
1940     48     0.00136
1940     49     0.00035
1940     50     0.00036
1940     51     0.00026
1940     52     0.00005
1940     53     0.00010
1940     54     0.00000
1940     55+    0.00000
1941     12-    0.00000
1941     13     0.00000
1941     14     0.00000
1941     15     0.00018
1941     16     0.00096
1941     17     0.00601
1941     18     0.01894
1941     19     0.04073
1941     20     0.07590
1941     21     0.10393
1941     22     0.12770
1941     23     0.14754
1941     24     0.15747
1941     25     0.16975
1941     26     0.16742
1941     27     0.16832
1941     28     0.16348
1941     29     0.16434
1941     30     0.15806
1941     31     0.14300
1941     32     0.13733
1941     33     0.12256
1941     34     0.11846
1941     35     0.11195
1941     36     0.10221
1941     37     0.09318
1941     38     0.08484
1941     39     0.07100
1941     40     0.06880
1941     41     0.05178
1941     42     0.04399
1941     43     0.03326
1941     44     0.02254
1941     45     0.01398
1941     46     0.00763
1941     47     0.00381
1941     48     0.00171
1941     49     0.00034
1941     50     0.00045
1941     51     0.00005
1941     52     0.00005
1941     53     0.00000
1941     54     0.00005
1941     55+    0.00000
1942     12-    0.00000
1942     13     0.00000
1942     14     0.00000
1942     15     0.00021
1942     16     0.00093
1942     17     0.00463
1942     18     0.01402
1942     19     0.02828
1942     20     0.04982
1942     21     0.07115
1942     22     0.08448
1942     23     0.09281
1942     24     0.10175
1942     25     0.10520
1942     26     0.11029
1942     27     0.10732
1942     28     0.10854
1942     29     0.10430
1942     30     0.10243
1942     31     0.10142
1942     32     0.09759
1942     33     0.08709
1942     34     0.08288
1942     35     0.08010
1942     36     0.07603
1942     37     0.06888
1942     38     0.06523
1942     39     0.05581
1942     40     0.05317
1942     41     0.04588
1942     42     0.03391
1942     43     0.02539
1942     44     0.01792
1942     45     0.01320
1942     46     0.00655
1942     47     0.00328
1942     48     0.00168
1942     49     0.00071
1942     50     0.00025
1942     51     0.00015
1942     52     0.00005
1942     53     0.00005
1942     54     0.00010
1942     55+    0.00000
1943     12-    0.00000
1943     13     0.00000
1943     14     0.00003
1943     15     0.00024
1943     16     0.00098
1943     17     0.00468
1943     18     0.01233
1943     19     0.02814
1943     20     0.04850
1943     21     0.07185
1943     22     0.09694
1943     23     0.11552
1943     24     0.12357
1943     25     0.13252
1943     26     0.13068
1943     27     0.13313
1943     28     0.13383
1943     29     0.13215
1943     30     0.12966
1943     31     0.12550
1943     32     0.12526
1943     33     0.11652
1943     34     0.11087
1943     35     0.10519
1943     36     0.10050
1943     37     0.09481
1943     38     0.08345
1943     39     0.07110
1943     40     0.06525
1943     41     0.05187
1943     42     0.04472
1943     43     0.03195
1943     44     0.02028
1943     45     0.01237
1943     46     0.00675
1943     47     0.00344
1943     48     0.00124
1943     49     0.00075
1943     50     0.00026
1943     51     0.00015
1943     52     0.00020
1943     53     0.00016
1943     54     0.00000
1943     55+    0.00000
1944     12-    0.00000
1944     13     0.00000
1944     14     0.00003
1944     15     0.00024
1944     16     0.00136
1944     17     0.00468
1944     18     0.01513
1944     19     0.03269
1944     20     0.05780
1944     21     0.08653
1944     22     0.10797
1944     23     0.12677
1944     24     0.13766
1944     25     0.14211
1944     26     0.14133
1944     27     0.14420
1944     28     0.13990
1944     29     0.13727
1944     30     0.13356
1944     31     0.12791
1944     32     0.12662
1944     33     0.11865
1944     34     0.11192
1944     35     0.10136
1944     36     0.09589
1944     37     0.08879
1944     38     0.08065
1944     39     0.07222
1944     40     0.06310
1944     41     0.04903
1944     42     0.04115
1944     43     0.03048
1944     44     0.02189
1944     45     0.01353
1944     46     0.00695
1944     47     0.00278
1944     48     0.00152
1944     49     0.00093
1944     50     0.00025
1944     51     0.00010
1944     52     0.00000
1944     53     0.00000
1944     54     0.00000
1944     55+    0.00000
1945     12-    0.00000
1945     13     0.00000
1945     14     0.00003
1945     15     0.00018
1945     16     0.00103
1945     17     0.00497
1945     18     0.01775
1945     19     0.04268
1945     20     0.07527
1945     21     0.10715
1945     22     0.13543
1945     23     0.16547
1945     24     0.17472
1945     25     0.19200
1945     26     0.17764
1945     27     0.17848
1945     28     0.17453
1945     29     0.17219
1945     30     0.16402
1945     31     0.15412
1945     32     0.14650
1945     33     0.13872
1945     34     0.12681
1945     35     0.11848
1945     36     0.10940
1945     37     0.09692
1945     38     0.08603
1945     39     0.07925
1945     40     0.06852
1945     41     0.05381
1945     42     0.04192
1945     43     0.02943
1945     44     0.02166
1945     45     0.01294
1945     46     0.00597
1945     47     0.00315
1945     48     0.00178
1945     49     0.00032
1945     50     0.00028
1945     51     0.00020
1945     52     0.00020
1945     53     0.00013
1945     54     0.00006
1945     55+    0.00003
1946     12-    0.00000
1946     13     0.00000
1946     14     0.00000
1946     15     0.00018
1946     16     0.00200
1946     17     0.00925
1946     18     0.03029
1946     19     0.06533
1946     20     0.10239
1946     21     0.14141
1946     22     0.16250
1946     23     0.18200
1946     24     0.19342
1946     25     0.20572
1946     26     0.19429
1946     27     0.19062
1946     28     0.18532
1946     29     0.17797
1946     30     0.17386
1946     31     0.16571
1946     32     0.15553
1946     33     0.14440
1946     34     0.13566
1946     35     0.13079
1946     36     0.12059
1946     37     0.10353
1946     38     0.09338
1946     39     0.08279
1946     40     0.07112
1946     41     0.05635
1946     42     0.04394
1946     43     0.03191
1946     44     0.02247
1946     45     0.01343
1946     46     0.00682
1946     47     0.00325
1946     48     0.00144
1946     49     0.00032
1946     50     0.00027
1946     51     0.00010
1946     52     0.00009
1946     53     0.00006
1946     54     0.00003
1946     55+    0.00002
1947     12-    0.00000
1947     13     0.00000
1947     14     0.00003
1947     15     0.00029
1947     16     0.00225
1947     17     0.01203
1947     18     0.03749
1947     19     0.07390
1947     20     0.11517
1947     21     0.14811
1947     22     0.17605
1947     23     0.19421
1947     24     0.20193
1947     25     0.20830
1947     26     0.20851
1947     27     0.20230
1947     28     0.18753
1947     29     0.17967
1947     30     0.17492
1947     31     0.16058
1947     32     0.15012
1947     33     0.13984
1947     34     0.13142
1947     35     0.12270
1947     36     0.11633
1947     37     0.10576
1947     38     0.09314
1947     39     0.08006
1947     40     0.06828
1947     41     0.05130
1947     42     0.04388
1947     43     0.03148
