Finland, Period fertility rates by calendar year, age and birth order (Lexis squares, age in completed years (ACY))
Last modified: 06/09/2023
Year    Age        ASFR       ASFR1       ASFR2       ASFR3       ASFR4      ASFR5p
1982     12-    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1982     13     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1982     14     0.00011     0.00011     0.00000     0.00000     0.00000     0.00000
1982     15     0.00069     0.00067     0.00003     0.00000     0.00000     0.00000
1982     16     0.00382     0.00377     0.00006     0.00000     0.00000     0.00000
1982     17     0.01125     0.01082     0.00043     0.00000     0.00000     0.00000
1982     18     0.02376     0.02210     0.00163     0.00003     0.00000     0.00000
1982     19     0.04393     0.03713     0.00639     0.00040     0.00000     0.00000
1982     20     0.05961     0.04693     0.01187     0.00078     0.00003     0.00000
1982     21     0.07454     0.05044     0.02164     0.00238     0.00008     0.00000
1982     22     0.09248     0.05697     0.03075     0.00435     0.00038     0.00003
1982     23     0.10686     0.06232     0.03698     0.00664     0.00080     0.00011
1982     24     0.12172     0.06495     0.04495     0.01022     0.00136     0.00025
1982     25     0.13073     0.06625     0.05029     0.01176     0.00193     0.00050
1982     26     0.13106     0.05987     0.05387     0.01428     0.00216     0.00088
1982     27     0.12822     0.05007     0.05580     0.01797     0.00327     0.00111
1982     28     0.12347     0.04308     0.05641     0.01830     0.00381     0.00187
1982     29     0.10952     0.03354     0.04974     0.02058     0.00382     0.00184
1982     30     0.09920     0.02600     0.04440     0.02155     0.00482     0.00242
1982     31     0.08355     0.01843     0.03612     0.02133     0.00474     0.00294
1982     32     0.07414     0.01484     0.03067     0.02009     0.00577     0.00275
1982     33     0.06178     0.01057     0.02440     0.01803     0.00558     0.00319
1982     34     0.05307     0.00870     0.01915     0.01658     0.00510     0.00353
1982     35     0.04301     0.00674     0.01451     0.01377     0.00455     0.00343
1982     36     0.03622     0.00499     0.01088     0.01202     0.00486     0.00346
1982     37     0.02738     0.00382     0.00708     0.00889     0.00434     0.00326
1982     38     0.02151     0.00308     0.00510     0.00625     0.00337     0.00372
1982     39     0.01741     0.00194     0.00441     0.00500     0.00314     0.00291
1982     40     0.01334     0.00133     0.00344     0.00324     0.00197     0.00336
1982     41     0.00889     0.00128     0.00165     0.00213     0.00125     0.00257
1982     42     0.00581     0.00074     0.00071     0.00166     0.00094     0.00175
1982     43     0.00393     0.00053     0.00050     0.00073     0.00066     0.00150
1982     44     0.00221     0.00027     0.00034     0.00031     0.00007     0.00122
1982     45     0.00110     0.00003     0.00007     0.00015     0.00015     0.00070
1982     46     0.00055     0.00000     0.00010     0.00016     0.00003     0.00025
1982     47     0.00019     0.00000     0.00004     0.00000     0.00004     0.00011
1982     48     0.00004     0.00000     0.00000     0.00000     0.00000     0.00004
1982     49     0.00004     0.00001     0.00001     0.00001     0.00001     0.00001
1982     50     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1982     51     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1982     52     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1982     53     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1982     54     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1982     55+    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1983     12-    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1983     13     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1983     14     0.00015     0.00015     0.00000     0.00000     0.00000     0.00000
1983     15     0.00082     0.00082     0.00000     0.00000     0.00000     0.00000
1983     16     0.00339     0.00336     0.00003     0.00000     0.00000     0.00000
1983     17     0.01088     0.01046     0.00042     0.00000     0.00000     0.00000
1983     18     0.02285     0.02082     0.00199     0.00003     0.00000     0.00000
1983     19     0.03897     0.03275     0.00614     0.00008     0.00000     0.00000
1983     20     0.05879     0.04511     0.01259     0.00103     0.00006     0.00000
1983     21     0.07217     0.04889     0.02096     0.00211     0.00022     0.00000
1983     22     0.08447     0.05219     0.02727     0.00445     0.00046     0.00008
1983     23     0.10076     0.05808     0.03482     0.00674     0.00101     0.00011
1983     24     0.12105     0.06487     0.04411     0.01016     0.00160     0.00030
1983     25     0.13099     0.06563     0.05004     0.01303     0.00177     0.00052
1983     26     0.13651     0.05968     0.05720     0.01559     0.00317     0.00087
1983     27     0.13102     0.05158     0.05670     0.01787     0.00362     0.00126
1983     28     0.12063     0.04217     0.05381     0.01915     0.00372     0.00177
1983     29     0.11540     0.03394     0.05224     0.02207     0.00489     0.00226
1983     30     0.10084     0.02643     0.04468     0.02217     0.00495     0.00261
1983     31     0.09287     0.01998     0.04065     0.02344     0.00583     0.00296
1983     32     0.07710     0.01479     0.03165     0.02156     0.00609     0.00301
1983     33     0.06614     0.01093     0.02702     0.01863     0.00626     0.00330
1983     34     0.05541     0.00937     0.01933     0.01701     0.00670     0.00301
1983     35     0.04571     0.00731     0.01487     0.01482     0.00496     0.00375
1983     36     0.03987     0.00654     0.01150     0.01287     0.00528     0.00368
1983     37     0.03145     0.00436     0.00829     0.01057     0.00447     0.00375
1983     38     0.02336     0.00264     0.00630     0.00759     0.00350     0.00332
1983     39     0.01892     0.00241     0.00479     0.00569     0.00315     0.00288
1983     40     0.01361     0.00179     0.00292     0.00376     0.00219     0.00295
1983     41     0.00948     0.00127     0.00184     0.00224     0.00137     0.00274
1983     42     0.00527     0.00050     0.00104     0.00104     0.00121     0.00148
1983     43     0.00384     0.00030     0.00066     0.00080     0.00087     0.00120
1983     44     0.00163     0.00023     0.00017     0.00033     0.00040     0.00050
1983     45     0.00100     0.00010     0.00021     0.00014     0.00014     0.00042
1983     46     0.00059     0.00008     0.00004     0.00015     0.00011     0.00022
1983     47     0.00037     0.00000     0.00008     0.00004     0.00007     0.00018
1983     48     0.00011     0.00000     0.00000     0.00000     0.00000     0.00011
1983     49     0.00008     0.00000     0.00000     0.00000     0.00004     0.00004
1983     50     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1983     51     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1983     52     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1983     53     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1983     54     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1983     55+    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1984     12-    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1984     13     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1984     14     0.00006     0.00006     0.00000     0.00000     0.00000     0.00000
1984     15     0.00057     0.00057     0.00000     0.00000     0.00000     0.00000
1984     16     0.00324     0.00321     0.00003     0.00000     0.00000     0.00000
1984     17     0.01026     0.00992     0.00033     0.00000     0.00000     0.00000
1984     18     0.02130     0.01913     0.00214     0.00003     0.00000     0.00000
1984     19     0.03839     0.03291     0.00529     0.00019     0.00000     0.00000
1984     20     0.05245     0.04081     0.01070     0.00094     0.00000     0.00000
1984     21     0.06720     0.04440     0.02065     0.00207     0.00008     0.00000
1984     22     0.08067     0.04996     0.02655     0.00383     0.00027     0.00006
1984     23     0.09521     0.05508     0.03220     0.00711     0.00076     0.00005
1984     24     0.11462     0.06100     0.04180     0.00984     0.00166     0.00033
1984     25     0.12470     0.06166     0.04785     0.01235     0.00215     0.00069
1984     26     0.12726     0.05751     0.05038     0.01582     0.00269     0.00087
