Finland, Live births by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 06/09/2023
Year    Age        Total
1939     12-        0.00
1939     13         0.00
1939     14         1.01
1939     15         9.03
1939     16        59.21
1939     17       284.01
1939     18       903.21
1939     19      1586.64
1939     20      2138.61
1939     21      3239.53
1939     22      3670.05
1939     23      4029.33
1939     24      4443.81
1939     25      4668.61
1939     26      4622.44
1939     27      4751.90
1939     28      4709.75
1939     29      4479.94
1939     30      4304.30
1939     31      3840.66
1939     32      3633.92
1939     33      3196.37
1939     34      2950.50
1939     35      2729.71
1939     36      2323.26
1939     37      2277.10
1939     38      2016.17
1939     39      1812.44
1939     40      1591.66
1939     41      1220.34
1939     42       933.32
1939     43       709.52
1939     44       513.83
1939     45       273.97
1939     46       135.48
1939     47        54.19
1939     48        27.10
1939     49        12.04
1939     50         4.01
1939     51         3.01
1939     52         3.01
1939     53         0.00
1939     54         0.00
1939     55+        1.00
1940     12-        0.00
1940     13         0.00
1940     14         0.00
1940     15         9.03
1940     16        52.15
1940     17       235.68
1940     18       697.02
1940     19      1556.49
1940     20      2069.97
1940     21      2292.61
1940     22      3098.94
1940     23      3281.47
1940     24      3439.93
1940     25      3846.10
1940     26      3814.01
1940     27      3843.09
1940     28      3722.74
1940     29      3618.44
1940     30      3543.22
1940     31      3279.46
1940     32      3063.84
1940     33      2886.33
1940     34      2572.42
1940     35      2406.94
1940     36      2172.27
1940     37      1814.24
1940     38      1758.07
1940     39      1628.70
1940     40      1415.09
1940     41      1178.40
1940     42       889.57
1940     43       696.01
1940     44       439.26
1940     45       278.81
1940     46       136.40
1940     47        62.18
1940     48        28.08
1940     49         7.02
1940     50         7.02
1940     51         5.01
1940     52         1.00
1940     53         2.01
1940     54         0.00
1940     55+        0.00
1941     12-        0.00
1941     13         0.00
1941     14         0.00
1941     15         6.01
1941     16        32.04
1941     17       207.28
1941     18       641.86
1941     19      1391.86
1941     20      2641.54
1941     21      3340.48
1941     22      3495.68
1941     23      4614.18
1941     24      4846.49
1941     25      5125.87
1941     26      5339.15
1941     27      5424.27
1941     28      5343.16
1941     29      5452.31
1941     30      5228.01
1941     31      4705.31
1941     32      4520.06
1941     33      3960.31
1941     34      3760.04
1941     35      3360.50
1941     36      3007.03
1941     37      2648.55
1941     38      2288.07
1941     39      1927.58
1941     40      1810.43
1941     41      1341.80
1941     42      1128.51
1941     43       824.10
1941     44       528.71
1941     45       323.43
1941     46       169.23
1941     47        78.10
1941     48        34.04
1941     49         7.01
1941     50         9.01
1941     51         1.00
1941     52         1.00
1941     53         0.00
1941     54         1.01
1941     55+        0.00
1942     12-        0.00
1942     13         0.00
1942     14         0.00
1942     15         7.00
1942     16        31.03
1942     17       154.11
1942     18       481.37
1942     19       952.73
1942     20      1692.29
1942     21      2459.88
1942     22      2697.05
1942     23      2521.92
1942     24      3160.41
1942     25      3212.44
1942     26      3305.52
1942     27      3399.59
1942     28      3474.64
1942     29      3387.58
1942     30      3378.57
1942     31      3334.54
1942     32      3192.44
1942     33      2847.17
1942     34      2661.03
1942     35      2525.92
1942     36      2266.73
1942     37      2012.53
1942     38      1841.40
1942     39      1494.14
1942     40      1433.09
1942     41      1198.91
1942     42       872.67
1942     43       646.50
1942     44       440.33
1942     45       306.23
1942     46       150.11
1942     47        72.06
1942     48        34.02
1942     49        14.01
1942     50         5.01
1942     51         3.01
1942     52         1.00
1942     53         1.01
1942     54         2.00
1942     55+        0.00
1943     12-        0.00
1943     13         0.00
1943     14         1.00
1943     15         8.00
1943     16        32.02
1943     17       156.10
1943     18       409.27
1943     19       962.63
1943     20      1626.07
1943     21      2426.59
1943     22      3334.19
1943     23      3664.41
1943     24      3334.19
1943     25      4090.69
1943     26      3963.61
1943     27      3963.60
1943     28      4211.77
1943     29      4204.76
1943     30      4188.75
1943     31      4114.70
1943     32      4096.69
1943     33      3788.49
1943     34      3603.37
1943     35      3354.21
1943     36      3148.07
1943     37      2808.84
1943     38      2422.59
1943     39      1994.31
1943     40      1734.14
1943     41      1388.91
1943     42      1159.76
1943     43       816.54
1943     44       512.33
1943     45       301.20
1943     46       155.10
1943     47        78.05
1943     48        27.02
1943     49        15.01
1943     50         5.00
1943     51         3.00
