Finland, Female population exposure by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 06/09/2023
Year    Age        Exposure
1939     12        33236.13
1939     13        33971.83
1939     14        33758.49
1939     15        34631.34
1939     16        34081.31
1939     17        34426.64
1939     18        35036.54
1939     19        32470.51
1939     20        27738.20
1939     21        31665.48
1939     22        31169.36
1939     23        30592.46
1939     24        32328.20
1939     25        32652.32
1939     26        33105.66
1939     27        33608.19
1939     28        33496.09
1939     29        33298.23
1939     30        33250.46
1939     31        32671.34
1939     32        32063.64
1939     33        30323.72
1939     34        29761.12
1939     35        28816.92
1939     36        27357.71
1939     37        27536.07
1939     38        26713.08
1939     39        26237.99
1939     40        25861.42
1939     41        24996.53
1939     42        23669.30
1939     43        23391.45
1939     44        22491.46
1939     45        20846.25
1939     46        20287.49
1939     47        20782.85
1939     48        20519.58
1939     49        19451.25
1939     50        19619.07
1939     51        20285.06
1939     52        19677.15
1939     53        18680.97
1939     54        18041.71
1939     55        17956.35
1940     12        33575.92
1940     13        33021.78
1940     14        33750.34
1940     15        33518.48
1940     16        34604.58
1940     17        34036.01
1940     18        34354.11
1940     19        34974.57
1940     20        32379.98
1940     21        27558.73
1940     22        31490.07
1940     23        30977.36
1940     24        30420.61
1940     25        32121.88
1940     26        32427.26
1940     27        32883.01
1940     28        33394.08
1940     29        33277.18
1940     30        33082.63
1940     31        33110.80
1940     32        32511.16
1940     33        31926.45
1940     34        30189.63
1940     35        29623.91
1940     36        28620.49
1940     37        27153.28
1940     38        27363.73
1940     39        26509.55
1940     40        26043.62
1940     41        25778.57
1940     42        24906.47
1940     43        23597.48
1940     44        23321.36
1940     45        22381.02
1940     46        20662.49
1940     47        20128.77
1940     48        20616.10
1940     49        20328.81
1940     50        19257.65
1940     51        19339.22
1940     52        19969.68
1940     53        19362.47
1940     54        18360.42
1940     55        17713.82
1941     12        34195.19
1941     13        33399.04
1941     14        32851.72
1941     15        33550.39
1941     16        33436.76
1941     17        34492.51
1941     18        33882.50
1941     19        34174.12
1941     20        34804.17
1941     21        32140.24
1941     22        27374.03
1941     23        31274.05
1941     24        30776.26
1941     25        30196.25
1941     26        31891.34
1941     27        32225.87
1941     28        32684.18
1941     29        33177.40
1941     30        33075.99
1941     31        32904.25
1941     32        32912.87
1941     33        32312.16
1941     34        31741.25
1941     35        30018.46
1941     36        29421.04
1941     37        28424.55
1941     38        26968.73
1941     39        27150.11
1941     40        26312.67
1941     41        25913.61
1941     42        25651.36
1941     43        24777.84
1941     44        23453.19
1941     45        23132.32
1941     46        22185.71
1941     47        20500.63
1941     48        19936.15
1941     49        20444.92
1941     50        20140.61
1941     51        19047.29
1941     52        19093.85
1941     53        19742.24
1941     54        19087.32
1941     55        18095.76
1942     12        33788.69
1942     13        34169.35
1942     14        33358.55
1942     15        32789.78
1942     16        33462.30
1942     17        33320.78
1942     18        34337.26
1942     19        33692.39
1942     20        33969.80
1942     21        34575.55
1942     22        31923.86
1942     23        27172.26
1942     24        31060.53
1942     25        30536.98
1942     26        29972.50
1942     27        31677.28
1942     28        32013.55
1942     29        32478.03
1942     30        32982.58
1942     31        32877.62
1942     32        32711.77
1942     33        32692.66
1942     34        32105.10
1942     35        31533.17
1942     36        29814.98
1942     37        29216.30
1942     38        28231.33
1942     39        26771.10
1942     40        26955.26
1942     41        26130.01
1942     42        25734.23
1942     43        25467.37
1942     44        24567.87
1942     45        23200.44
1942     46        22907.49
1942     47        21977.29
1942     48        20283.80
1942     49        19733.70
1942     50        20274.78
1942     51        19953.15
1942     52        18841.17
1942     53        18905.33
1942     54        19535.77
1942     55        18861.03
1943     12        33015.60
1943     13        33780.48
1943     14        34122.81
1943     15        33288.47
1943     16        32704.35
1943     17        33355.77
1943     18        33203.78
1943     19        34206.07
1943     20        33526.40
1943     21        33771.77
1943     22        34393.34
1943     23        31720.50
1943     24        26981.42
1943     25        30867.67
1943     26        30330.87
1943     27        29773.32
1943     28        31470.50
1943     29        31818.55
1943     30        32305.34
1943     31        32786.49
1943     32        32706.21
1943     33        32514.44
1943     34        32501.48
1943     35        31886.77
1943     36        31322.53
1943     37        29624.76
1943     38        29031.26
1943     39        28048.35
1943     40        26574.96
1943     41        26774.61
1943     42        25933.57
1943     43        25553.52
1943     44        25268.62
1943     45        24347.33
1943     46        22968.15
1943     47        22681.45
1943     48        21755.79
1943     49        20068.81
1943     50        19538.18
1943     51        20073.74
1943     52        19762.41
1943     53        18620.48
1943     54        18709.25
1943     55        19322.71
1944     12        31569.89
1944     13        33015.74
1944     14        33737.08
1944     15        34059.85
1944     16        33191.45
1944     17        32595.48
1944     18        33237.13
1944     19        33072.70
1944     20        34052.22
1944     21        33351.32
1944     22        33579.43
1944     23        34180.34
1944     24        31491.44
1944     25        26811.93
1944     26        30660.71
1944     27        30132.08
1944     28        29574.42
1944     29        31275.15
1944     30        31639.16
1944     31        32110.89
1944     32        32613.40
1944     33        32511.83
1944     34        32329.87
1944     35        32304.05
1944     36        31676.13
1944     37        31133.87
1944     38        29446.74
1944     39        28854.32
1944     40        27852.22
1944     41        26388.04
1944     42        26563.33
1944     43        25749.73
1944     44        25358.05
1944     45        25078.17
1944     46        24112.69
1944     47        22748.78
1944     48        22445.62
1944     49        21533.51
1944     50        19841.50
1944     51        19315.12
1944     52        19871.93
1944     53        19533.41
1944     54        18389.39
1944     55        18490.43
1945     12        30179.04
1945     13        31576.43
1945     14        32971.58
1945     15        33693.11
1945     16        33975.44
1945     17        33076.46
1945     18        32480.27
1945     19        33080.00
1945     20        32919.78
1945     21        33876.91
1945     22        33149.12
1945     23        33361.49
1945     24        33948.43
1945     25        31274.12
1945     26        26616.33
1945     27        30463.04
1945     28        29911.05
1945     29        29380.21
1945     30        31069.47
1945     31        31446.24
1945     32        31938.00
1945     33        32420.85
1945     34        32317.77
1945     35        32144.61
1945     36        32109.98
1945     37        31472.34
1945     38        30936.02
1945     39        29268.03
1945     40        28669.13
1945     41        27656.11
1945     42        26191.56
1945     43        26373.67
1945     44        25549.60
1945     45        25185.14
1945     46        24864.69
1945     47        23891.71
1945     48        22506.52
1945     49        22200.93
1945     50        21303.08
1945     51        19603.85
1945     52        19080.47
1945     53        19643.60
1945     54        19292.30
1945     55        18152.40
1946     12        30164.02
1946     13        30169.78
1946     14        31552.97
1946     15        32949.02
1946     16        33645.93
1946     17        33899.64
1946     18        32960.05
1946     19        32339.08
1946     20        32928.67
1946     21        32759.09
1946     22        33676.15
1946     23        32953.04
1946     24        33152.47
1946     25        33728.02
1946     26        31069.31
1946     27        26437.35
1946     28        30248.77
1946     29        29707.37
1946     30        29181.52
1946     31        30876.03
1946     32        31259.87
1946     33        31760.85
1946     34        32249.39
1946     35        32132.15
1946     36        31973.67
1946     37        31926.57
1946     38        31255.15
1946     39        30749.60
1946     40        29085.62
1946     41        28477.26
1946     42        27463.43
1946     43        26003.77
1946     44        26185.74
1946     45        25368.35
1946     46        24998.95
1946     47        24669.64
1946     48        23679.17
1946     49        22264.28
1946     50        21962.13
1946     51        21059.04
1946     52        19362.63
1946     53        18831.27
1946     54        19400.13
1946     55        19044.88
1947     12        31305.93
1947     13        30115.88
1947     14        30131.33
1947     15        31536.88
1947     16        32911.66
1947     17        33581.69
1947     18        33781.19
1947     19        32820.23
1947     20        32179.57
1947     21        32746.61
1947     22        32567.05
1947     23        33477.14
1947     24        32732.70
1947     25        32915.54
1947     26        33508.32
1947     27        30844.33
1947     28        26226.09
1947     29        30035.81
1947     30        29499.17
1947     31        28985.81
1947     32        30657.56
1947     33        31069.76
1947     34        31594.42
1947     35        32065.57
1947     36        31936.15
1947     37        31790.72
1947     38        31713.71
1947     39        31047.01
1947     40        30544.64
1947     41        28887.26
1947     42        28288.05
1947     43        27265.75
1947     44        25819.33
1947     45        25989.24
1947     46        25163.67
1947     47        24819.06
1947     48        24479.58
1947     49        23452.32
1947     50        22024.56
1947     51        21712.99
1947     52        20811.57
1947     53        19082.00
1947     54        18567.70
1947     55        19127.33
1948     12        31464.46
1948     13        31227.81
1948     14        30049.93
1948     15        30082.35
1948     16        31503.50
1948     17        32826.46
1948     18        33473.27
1948     19        33638.26
1948     20        32634.63
1948     21        31974.48
1948     22        32535.25
1948     23        32353.05
1948     24        33239.12
1948     25        32486.89
1948     26        32669.54
1948     27        33264.60
1948     28        30597.30
1948     29        26003.91
1948     30        29812.53
1948     31        29285.70
1948     32        28767.31
1948     33        30442.52
1948     34        30876.08
1948     35        31393.27
1948     36        31861.42
1948     37        31737.36
1948     38        31593.97
1948     39        31509.31
1948     40        30826.49
1948     41        30325.68
1948     42        28693.78
1948     43        28093.27
1948     44        27066.59
1948     45        25622.98
1948     46        25769.70
1948     47        24959.61
1948     48        24633.45
1948     49        24283.97
1948     50        23242.23
1948     51        21774.74
1948     52        21474.49
1948     53        20537.46
1948     54        18800.76
1948     55        18305.94
1949     12        31329.70
1949     13        31384.10
1949     14        31166.29
1949     15        29995.97
1949     16        30041.94
1949     17        31450.53
1949     18        32739.85
1949     19        33350.52
1949     20        33478.92
1949     21        32457.97
1949     22        31786.28
1949     23        32330.50
1949     24        32160.66
1949     25        33018.93
1949     26        32262.82
1949     27        32438.42
1949     28        33047.18
1949     29        30363.56
1949     30        25791.69
1949     31        29602.94
1949     32        29077.03
1949     33        28575.25
1949     34        30237.04
1949     35        30666.07
1949     36        31209.32
1949     37        31681.63
1949     38        31538.73
1949     39        31418.42
1949     40        31312.20
1949     41        30614.26
1949     42        30118.93
1949     43        28511.56
1949     44        27913.77
1949     45        26869.06
1949     46        25419.93
1949     47        25571.01
1949     48        24773.70
1949     49        24441.34
1949     50        24085.30
1949     51        22992.62
1949     52        21551.46
1949     53        21219.35
1949     54        20265.46
1949     55        18516.34
1950     12        33164.22
1950     13        31291.70
1950     14        31346.40
1950     15        31129.59
1950     16        29917.48
1950     17        29938.87
1950     18        31301.34
1950     19        32540.45
1950     20        33134.18
1950     21        33246.26
1950     22        32213.19
1950     23        31549.23
1950     24        32097.80
1950     25        31928.74
1950     26        32784.33
1950     27        32009.53
1950     28        32175.50
1950     29        32806.14
1950     30        30103.22
1950     31        25582.33
1950     32        29377.25
1950     33        28870.08
1950     34        28371.81
1950     35        30014.66
1950     36        30462.05
1950     37        31034.68
1950     38        31494.98
1950     39        31361.90
1950     40        31237.92
1950     41        31135.03
1950     42        30402.16
1950     43        29918.37
1950     44        28334.96
1950     45        27737.07
1950     46        26671.45
1950     47        25248.03
1950     48        25387.08
1950     49        24563.46
1950     50        24237.09
1950     51        23853.20
1950     52        22756.78
1950     53        21294.63
1950     54        20958.51
1950     55        19969.59
1951     12        34312.23
1951     13        33111.21
1951     14        31237.82
1951     15        31278.43
1951     16        30985.44
1951     17        29698.59
1951     18        29673.17
1951     19        30967.63
1951     20        32196.09
1951     21        32797.37
1951     22        32896.05
1951     23        31898.53
1951     24        31246.88
1951     25        31815.70
1951     26        31647.79
1951     27        32502.68
1951     28        31705.31
1951     29        31883.41
1951     30        32547.88
1951     31        29846.76
1951     32        25384.36
1951     33        29150.90
1951     34        28651.91
1951     35        28147.64
1951     36        29794.85
1951     37        30271.38
1951     38        30855.97
1951     39        31289.25
1951     40        31182.48
1951     41        31067.84
1951     42        30944.53
1951     43        30216.70
1951     44        29749.49
1951     45        28174.73
1951     46        27556.95
1951     47        26509.01
1951     48        25094.16
1951     49        25189.78
1951     50        24396.91
1951     51        24033.52
1951     52        23644.02
1951     53        22527.23
1951     54        21063.86
1951     55        20710.59
1952     12        34223.34
1952     13        34243.17
1952     14        33045.67
1952     15        31161.13
1952     16        31134.81
1952     17        30793.22
1952     18        29469.96
1952     19        29405.85
1952     20        30697.79
1952     21        31942.44
1952     22        32561.66
1952     23        32676.11
1952     24        31689.28
1952     25        31065.96
1952     26        31622.21
1952     27        31471.02
1952     28        32297.97
1952     29        31519.27
1952     30        31726.52
1952     31        32393.89
1952     32        29713.54
1952     33        25255.72
1952     34        29010.83
1952     35        28504.85
1952     36        28017.19
1952     37        29663.50
1952     38        30137.43
1952     39        30717.33
1952     40        31165.48
1952     41        31045.24
1952     42        30946.43
1952     43        30828.55
1952     44        30093.02
1952     45        29616.06
1952     46        28040.28
1952     47        27421.05
1952     48        26380.19
1952     49        24945.92
1952     50        25041.94
1952     51        24236.76
1952     52        23873.56
1952     53        23462.32
1952     54        22343.99
1952     55        20850.76
1953     12        33816.70
1953     13        34173.87
1953     14        34185.77
1953     15        32968.29
1953     16        31033.51
1953     17        30990.40
1953     18        30619.37
1953     19        29275.58
1953     20        29221.86
1953     21        30532.29
1953     22        31798.08
1953     23        32415.05
1953     24        32551.44
1953     25        31574.57
1953     26        30967.57
1953     27        31517.33
1953     28        31356.07
1953     29        32210.86
1953     30        31439.87
1953     31        31643.96
1953     32        32301.93
1953     33        29635.98
1953     34        25193.05
1953     35        28935.57
1953     36        28425.65
1953     37        27940.00
1953     38        29563.65
1953     39        30060.93
1953     40        30635.23
1953     41        31068.74
1953     42        30943.60
1953     43        30855.38
1953     44        30715.71
1953     45        29981.59
1953     46        29496.17
1953     47        27911.67
1953     48        27300.42
1953     49        26245.17
1953     50        24802.90
1953     51        24899.16
1953     52        24083.41
1953     53        23704.79
1953     54        23274.13
1953     55        22145.02
1954     12        34050.21
1954     13        33780.23
