Indicator;Country;Forecast;Variant;Pred Value;Obs value;Cal year
TFR;Austria;1962;M;2.70;2.80;1962
TFR;Austria;1962;M;2.70;2.82;1963
TFR;Austria;1962;M;2.70;2.80;1964
TFR;Austria;1962;M;2.70;2.71;1965
TFR;Austria;1962;M;2.70;2.66;1966
TFR;Austria;1962;M;2.70;2.62;1967
TFR;Austria;1962;M;2.70;2.59;1968
TFR;Austria;1962;M;2.70;2.49;1969
TFR;Austria;1962;M;2.70;2.29;1970
TFR;Austria;1962;M;2.70;2.20;1971
TFR;Austria;1962;M;2.70;2.09;1972
TFR;Austria;1962;M;2.70;1.94;1973
TFR;Austria;1962;M;2.70;1.91;1974
TFR;Austria;1962;M;2.70;1.83;1975
TFR;Austria;1962;M;2.70;1.69;1976
TFR;Austria;1962;M;2.70;1.63;1977
TFR;Austria;1962;M;2.70;1.61;1978
TFR;Austria;1962;M;2.70;1.60;1979
TFR;Austria;1972;M;2.20;2.09;1972
TFR;Austria;1972;M;2.20;1.94;1973
TFR;Austria;1972;M;2.20;1.91;1974
TFR;Austria;1972;M;2.20;1.83;1975
TFR;Austria;1972;M;2.20;1.69;1976
TFR;Austria;1972;M;2.20;1.63;1977
TFR;Austria;1972;M;2.20;1.61;1978
TFR;Austria;1972;M;2.20;1.60;1979
TFR;Austria;1978;M;1.64;1.61;1978
TFR;Austria;1978;M;1.60;1.60;1979
TFR;Austria;1978;M;1.57;1.65;1980
TFR;Austria;1978;M;1.55;1.67;1981
TFR;Austria;1978;M;1.54;1.66;1982
TFR;Austria;1978;M;1.54;1.56;1983
TFR;Austria;1978;M;1.55;1.52;1984
TFR;Austria;1978;M;1.57;1.47;1985
TFR;Austria;1978;M;1.60;1.45;1986
TFR;Austria;1978;M;1.63;1.43;1987
TFR;Austria;1978;M;1.67;1.44;1988
TFR;Austria;1978;M;1.73;1.44;1989
TFR;Austria;1978;M;1.77;1.45;1990
TFR;Austria;1978;M;1.79;1.49;1991
TFR;Austria;1978;M;1.79;1.49;1992
TFR;Austria;1978;M;1.79;1.48;1993
TFR;Austria;1978;M;1.79;1.44;1994
TFR;Austria;1978;M;1.79;1.40;1995
TFR;Austria;1978;M;1.78;1.42;1996
TFR;Austria;1978;M;1.78;1.37;1997
TFR;Austria;1978;M;1.78;1.34;1998
TFR;Austria;1978;M;1.78;1.32;1999
TFR;Austria;1978;M;1.78;1.34;2000
TFR;Austria;1978;M;1.78;1.33;2001
TFR;Austria;1978;M;1.78;1.40;2002
TFR;Austria;1978;M;1.78;;2003
TFR;Austria;1978;M;1.78;;2004
TFR;Austria;1978;M;1.78;;2005
TFR;Austria;1978;M;1.78;;2006
TFR;Austria;1978;M;1.78;;2007
TFR;Austria;1978;M;1.78;;2008
TFR;Austria;1978;M;1.78;;2009
TFR;Austria;1978;M;1.78;;2010
TFR;Austria;1980;M;1.62;1.65;1980
TFR;Austria;1980;M;1.62;1.67;1981
TFR;Austria;1980;M;1.62;1.66;1982
