Norway, Live births by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 19/04/2023
Year    Age        Total
1967     12-        1.00
1967     13         0.00
1967     14         3.00
1967     15        27.03
1967     16       217.20
1967     17       759.70
1967     18      1911.76
1967     19      3144.90
1967     20      4557.21
1967     21      5238.83
1967     22      5374.96
1967     23      5213.81
1967     24      4725.36
1967     25      4220.89
1967     26      3657.38
1967     27      3677.39
1967     28      3167.92
1967     29      2839.62
1967     30      2485.29
1967     31      2157.99
1967     32      1888.75
1967     33      1734.60
1967     34      1584.46
1967     35      1418.31
1967     36      1318.22
1967     37      1039.96
1967     38       960.89
1967     39       808.74
1967     40       665.62
1967     41       456.42
1967     42       350.32
1967     43       225.20
1967     44       136.13
1967     45        78.08
1967     46        41.03
1967     47        31.03
1967     48         6.00
1967     49         1.00
1967     50         0.45
1967     51         0.27
1967     52         0.16
1967     53         0.09
1967     54         0.03
1967     55+        0.00
1968     12-        0.00
1968     13         0.00
1968     14         2.00
1968     15        30.02
1968     16       198.11
1968     17       935.53
1968     18      1928.09
1968     19      3211.81
1968     20      4445.51
1968     21      5268.97
1968     22      5757.25
1968     23      5600.16
1968     24      5218.94
1968     25      4613.60
1968     26      4009.26
1968     27      3501.97
1968     28      3333.88
1968     29      2892.63
1968     30      2497.41
1968     31      2115.19
1968     32      1889.07
1968     33      1670.95
1968     34      1377.78
1968     35      1240.70
1968     36      1210.69
1968     37      1032.59
1968     38       864.49
1968     39       698.40
1968     40       586.34
1968     41       427.24
1968     42       285.16
1968     43       224.13
1968     44       131.07
1968     45        64.03
1968     46        46.02
1968     47        20.02
1968     48         5.00
1968     49         2.00
1968     50         1.80
1968     51         1.21
1968     52         0.63
1968     53         0.29
1968     54         0.08
1968     55+        0.00
1969     12-        1.00
1969     13         0.00
1969     14         6.00
1969     15        31.01
1969     16       242.07
1969     17       939.28
1969     18      2039.60
1969     19      3190.94
1969     20      4148.22
1969     21      5214.54
1969     22      5712.68
1969     23      5942.76
1969     24      5564.64
1969     25      4994.48
1969     26      4149.22
1969     27      3741.10
1969     28      2986.89
1969     29      2919.86
1969     30      2537.75
1969     31      2208.65
1969     32      1823.54
1969     33      1530.45
1969     34      1378.41
1969     35      1236.36
1969     36      1087.32
1969     37       933.28
1969     38       859.26
1969     39       671.19
1969     40       497.14
1969     41       425.12
1969     42       297.09
1969     43       193.06
1969     44       117.04
1969     45        69.02
1969     46        26.00
1969     47        13.00
1969     48         1.00
1969     49         2.00
1969     50         0.47
1969     51         0.28
1969     52         0.15
1969     53         0.07
1969     54         0.03
1969     55+        0.00
1970     12-        0.00
1970     13         1.00
1970     14         8.00
1970     15        53.03
1970     16       265.11
1970     17       984.41
1970     18      2064.87
1970     19      3114.30
1970     20      4068.70
1970     21      4652.94
1970     22      5307.22
1970     23      5614.35
1970     24      5643.36
1970     25      4927.06
1970     26      4401.84
1970     27      3636.52
1970     28      2997.25
1970     29      2591.09
1970     30      2407.00
1970     31      2127.89
1970     32      1772.74
1970     33      1452.61
1970     34      1209.50
1970     35      1073.45
1970     36       895.37
1970     37       795.33
1970     38       678.29
1970     39       581.25
1970     40       407.17
1970     41       286.12
1970     42       210.08
1970     43       144.06
1970     44        97.04
1970     45        48.02
1970     46        26.02
1970     47         5.00
1970     48         7.00
1970     49         1.00
1970     50         1.19
1970     51         0.92
1970     52         0.55
1970     53         0.25
1970     54         0.08
1970     55+        0.00
1971     12-        0.00
1971     13         2.00
1971     14         3.00
1971     15        47.01
1971     16       278.05
1971     17      1054.20
1971     18      2220.41
1971     19      3109.57
1971     20      4023.74
1971     21      4701.86
1971     22      5092.93
1971     23      5626.03
1971     24      5696.04
1971     25      5287.96
1971     26      4746.87
1971     27      4041.74
1971     28      3263.60
1971     29      2691.49
1971     30      2191.40
1971     31      2133.39
1971     32      1723.31
1971     33      1434.26
1971     34      1213.22
1971     35      1040.19
1971     36       888.16
1971     37       730.13
1971     38       624.12
1971     39       539.10
1971     40       390.07
1971     41       293.06
1971     42       198.04
1971     43       121.02
1971     44        79.02
1971     45        34.00
1971     46        19.00
1971     47         3.00
1971     48         5.00
1971     49         0.00
1971     50         0.00
1971     51         0.00
1971     52         0.00
1971     53         0.00
1971     54         0.00
1971     55+        0.00
1972     12-        0.00
1972     13         0.00
1972     14         6.00
1972     15        45.01
1972     16       337.08
1972     17      1151.27
1972     18      2223.52
1972     19      3257.76
1972     20      3763.88
1972     21      4446.04
1972     22      4778.12
1972     23      5244.22
1972     24      5256.23
1972     25      5427.27
1972     26      5015.17
1972     27      4207.98
1972     28      3689.86
1972     29      2806.66
1972     30      2280.54
1972     31      1805.42
1972     32      1739.40
1972     33      1355.31
1972     34      1126.26
1972     35       912.21
1972     36       788.19
1972     37       676.15
1972     38       502.12
1972     39       431.10
1972     40       353.08
1972     41       245.06
1972     42       145.04
1972     43       114.02
1972     44        60.02
1972     45        36.00
1972     46        21.00
1972     47         6.00
1972     48         5.00
1972     49         1.00
1972     50         0.00
1972     51         0.00
1972     52         0.00
1972     53         0.00
1972     54         0.00
1972     55+        0.00
1973     12-        0.00
1973     13         0.00
1973     14         3.00
1973     15        42.01
1973     16       309.06
1973     17      1114.24
1973     18      2120.45
1973     19      3034.64
1973     20      3650.77
1973     21      3970.85
1973     22      4507.95
1973     23      4806.02
1973     24      4870.03
1973     25      4858.03
1973     26      4887.03
1973     27      4351.93
1973     28      3575.76
1973     29      3063.65
1973     30      2338.50
1973     31      1899.40
1973     32      1528.32
1973     33      1365.29
1973     34      1121.24
1973     35       890.19
1973     36       757.16
1973     37       549.11
1973     38       472.10
1973     39       335.07
1973     40       267.06
1973     41       206.04
1973     42       142.03
1973     43        80.02
1973     44        44.00
1973     45        31.00
1973     46         5.00
1973     47         7.00
1973     48         2.00
1973     49         0.00
1973     50         0.00
1973     51         0.00
1973     52         0.00
1973     53         0.00
1973     54         0.00
1973     55+        0.00
1974     12-        0.00
1974     13         0.00
1974     14         6.00
1974     15        37.00
1974     16       288.07
1974     17      1082.27
1974     18      2029.51
1974     19      2911.73
1974     20      3419.86
1974     21      3975.00
1974     22      4392.11
1974     23      4556.15
1974     24      4745.19
1974     25      4713.18
1974     26      4597.15
1974     27      4362.09
1974     28      3845.97
1974     29      3118.78
1974     30      2516.63
1974     31      1881.48
1974     32      1484.37
1974     33      1201.30
1974     34      1033.26
1974     35       800.21
1974     36       661.16
1974     37       508.13
1974     38       412.10
1974     39       318.08
1974     40       218.06
1974     41       179.04
1974     42       127.03
1974     43        82.02
1974     44        51.02
1974     45        18.00
1974     46        17.00
1974     47         8.00
1974     48         3.00
1974     49         0.00
1974     50         0.67
1974     51         1.12
1974     52         0.76
1974     53         0.36
1974     54         0.10
1974     55+        0.00
1975     12-        0.00
1975     13         1.00
1975     14         8.00
1975     15        42.01
1975     16       286.07
1975     17       996.26
1975     18      1908.51
1975     19      2795.74
1975     20      3181.85
1975     21      3781.00
1975     22      4182.11
1975     23      4244.13
1975     24      4373.17
1975     25      4518.20
1975     26      4232.13
1975     27      3926.04
1975     28      3725.99
1975     29      3250.86
1975     30      2475.66
1975     31      1900.51
1975     32      1498.40
1975     33      1148.30
1975     34       862.23
1975     35       746.19
1975     36       599.16
1975     37       448.12
1975     38       385.10
1975     39       273.07
1975     40       195.05
1975     41       134.04
1975     42       109.03
1975     43        55.02
1975     44        26.00
1975     45        18.00
1975     46        12.00
1975     47         3.00
1975     48         1.00
1975     49         0.00
1975     50         0.00
1975     51         0.00
1975     52         0.00
1975     53         0.00
1975     54         0.00
1975     55+        0.00
1976     12-        0.00
1976     13         0.00
1976     14         2.00
1976     15        45.00
1976     16       265.05
1976     17       942.16
1976     18      1679.28
1976     19      2406.41
1976     20      3148.53
1976     21      3487.59
1976     22      3840.65
1976     23      4163.70
1976     24      4050.68
1976     25      4039.68
1976     26      4004.68
1976     27      3648.61
1976     28      3369.57
1976     29      3047.51
1976     30      2679.45
1976     31      1992.33
1976     32      1663.28
1976     33      1175.20
1976     34       892.15
1976     35       733.12
1976     36       580.10
1976     37       481.08
1976     38       362.06
1976     39       272.04
1976     40       169.02
1976     41       130.02
1976     42        69.02
1976     43        68.02
1976     44        37.00
1976     45        18.00
1976     46         6.00
1976     47         1.00
1976     48         2.00
1976     49         0.00
1976     50         0.16
1976     51         0.32
1976     52         0.29
1976     53         0.17
1976     54         0.06
1976     55+        0.00
1977     12-        0.00
1977     13         1.00
1977     14         4.00
1977     15        35.01
1977     16       240.11
1977     17       808.36
1977     18      1523.69
1977     19      2191.99
1977     20      2813.27
1977     21      3220.45
1977     22      3536.60
1977     23      3791.71
1977     24      4049.83
1977     25      3853.74
1977     26      3739.69
1977     27      3570.61
1977     28      3176.44
1977     29      2972.34
1977     30      2673.21
1977     31      2065.93
1977     32      1647.74
1977     33      1292.59
1977     34      1004.45
1977     35       712.33
1977     36       511.23
1977     37       430.19
1977     38       316.15
1977     39       253.11
1977     40       172.07
1977     41       117.05
1977     42        66.03
1977     43        46.02
1977     44        19.01
1977     45        13.00
1977     46         3.00
1977     47         2.00
1977     48         2.00
1977     49         0.00
1977     50         0.00
1977     51         0.00
1977     52         0.00
1977     53         0.00
1977     54         0.00
1977     55+        0.00
1978     12-        0.00
1978     13         0.00
1978     14         3.00
1978     15        37.02
1978     16       216.09
1978     17       724.28
1978     18      1305.50
1978     19      2038.79
1978     20      2641.02
1978     21      3160.22
1978     22      3573.38
1978     23      3824.48
1978     24      3985.54
1978     25      4153.61
1978     26      3838.48
1978     27      3562.38
1978     28      3327.28
1978     29      2981.15
1978     30      2643.02
1978     31      2412.94
1978     32      1885.73
1978     33      1457.57
1978     34      1091.42
1978     35       819.31
1978     36       604.23
1978     37       435.17
1978     38       351.13
1978     39       221.08
1978     40       158.06
1978     41       130.05
1978     42        81.04
1978     43        38.02
1978     44        24.01
1978     45        14.00
1978     46         9.00
1978     47         0.00
1978     48         1.00
1978     49         0.00
1978     50         0.00
1978     51         0.00
1978     52         0.00
1978     53         0.00
1978     54         0.00
1978     55+        0.00
1979     12-        0.00
1979     13         1.00
1979     14         2.00
1979     15        40.03
1979     16       205.11
1979     17       663.37
1979     18      1262.71
1979     19      1936.09
1979     20      2471.39
1979     21      3077.73
1979     22      3603.03
1979     23      3925.21
1979     24      4100.30
1979     25      4095.30
1979     26      3980.23
1979     27      3537.99
1979     28      3256.83
1979     29      2915.64
1979     30      2550.43
1979     31      2215.24
1979     32      2019.13
1979     33      1549.88
1979     34      1185.66
1979     35       887.50
1979     36       607.34
1979     37       481.27
1979     38       330.19
1979     39       270.16
1979     40       162.09
1979     41       114.06
1979     42        64.04
1979     43        30.02
1979     44        18.01
1979     45        14.01
1979     46         5.00
1979     47         1.00
1979     48         0.00
1979     49         0.00
1979     50         0.00
1979     51         0.00
1979     52         0.00
1979     53         0.00
1979     54         0.00
1979     55+        0.00
1980     12-        0.00
1980     13         1.00
1980     14         2.00
1980     15        31.02
1980     16       199.15
1980     17       651.49
1980     18      1119.84
1980     19      1832.36
1980     20      2324.73
1980     21      2943.19
1980     22      3477.59
1980     23      3701.75
1980     24      3938.93
1980     25      4155.09
1980     26      3935.93
1980     27      3770.81
1980     28      3269.43
1980     29      2948.19
1980     30      2578.92
1980     31      2174.62
1980     32      1919.43
1980     33      1614.20
1980     34      1315.98
1980     35       906.68
1980     36       744.56
1980     37       491.37
1980     38       328.24
1980     39       230.17
1980     40       168.12
1980     41        99.07
1980     42        80.06
1980     43        40.03
1980     44        28.02
1980     45        10.00
1980     46         4.00
1980     47         1.00
1980     48         1.00
1980     49         1.00
1980     50         0.00
1980     51         0.00
1980     52         0.00
1980     53         0.00
1980     54         0.00
1980     55+        0.00
1981     12-        0.00
1981     13         1.00
1981     14         3.00
1981     15        25.03
1981     16       175.21
1981     17       537.63
1981     18      1109.31
1981     19      1826.16
1981     20      2300.72
1981     21      2841.36
1981     22      3370.99
1981     23      3662.33
1981     24      3978.71
1981     25      4101.85
1981     26      3977.70
1981     27      3652.32
1981     28      3401.03
1981     29      2908.44
1981     30      2531.99
1981     31      2197.60
1981     32      1873.22
1981     33      1574.87
1981     34      1318.56
1981     35      1018.20
1981     36       777.92
1981     37       528.62
1981     38       343.41
1981     39       251.30
1981     40       158.19
1981     41       105.13
1981     42        75.09
1981     43        38.05
1981     44        19.02
1981     45        15.02
1981     46         5.01
1981     47         0.00
1981     48         1.00
1981     49         0.00
1981     50         0.18
1981     51         0.34
1981     52         0.27
1981     53         0.15
1981     54         0.05
1981     55+        0.00
1982     12-        0.00
1982     13         1.00
1982     14         4.00
1982     15        38.04
1982     16       160.17
1982     17       555.60
1982     18      1024.10
1982     19      1670.79
1982     20      2249.42
1982     21      2683.88
1982     22      3230.47
1982     23      3628.90
1982     24      3991.29
1982     25      4044.34
1982     26      4050.35
1982     27      3847.13
1982     28      3458.71
1982     29      3251.49
1982     30      2656.86
1982     31      2274.44
1982     32      1913.05
1982     33      1571.69
1982     34      1308.41
1982     35      1124.20
1982     36       767.82
1982     37       595.64
1982     38       422.46
1982     39       294.32
1982     40       167.18
1982     41       102.11
1982     42        69.08
1982     43        44.05
1982     44        19.02
1982     45        18.02
1982     46         2.00
1982     47         3.00
1982     48         1.00
1982     49         0.00
1982     50         0.00
1982     51         0.00
1982     52         0.00
1982     53         0.00
1982     54         0.00
1982     55+        0.00
1983     12-        0.00
1983     13         0.00
1983     14         4.01
1983     15        22.03
1983     16       159.24
1983     17       484.73
1983     18       932.40
1983     19      1550.33
1983     20      2018.03
1983     21      2550.83
1983     22      2917.38
1983     23      3473.22
1983     24      3750.63
1983     25      3902.86
1983     26      3960.95
1983     27      3837.76
1983     28      3466.20
1983     29      3143.72
1983     30      2965.46
1983     31      2321.49
1983     32      1864.80
1983     33      1534.31
1983     34      1302.96
1983     35      1061.59
1983     36       890.34
1983     37       657.99
1983     38       444.67
1983     39       298.45
1983     40       168.25
1983     41       111.16
1983     42        64.10
1983     43        37.06
1983     44        17.02
1983     45        14.02
1983     46         6.01
1983     47         1.00
1983     48         1.00
1983     49         1.00
1983     50         0.00
1983     51         0.00
1983     52         0.00
1983     53         0.00
1983     54         0.00
1983     55+        0.00
1984     12-        1.00
1984     13         0.00
1984     14         2.00
1984     15        28.04
1984     16       162.25
1984     17       457.71
1984     18       907.41
1984     19      1541.39
1984     20      2071.22
1984     21      2480.85
1984     22      2864.45
1984     23      3231.01
1984     24      3651.66
1984     25      3969.16
1984     26      3966.15
1984     27      3982.18
1984     28      3650.67
1984     29      3335.17
1984     30      2896.49
1984     31      2436.78
1984     32      1915.98
1984     33      1583.46
1984     34      1257.95
1984     35      1042.62
1984     36       853.33
1984     37       722.12
1984     38       465.72
1984     39       302.47
1984     40       207.32
1984     41       130.21
1984     42        75.12
1984     43        38.06
1984     44        22.04
1984     45        12.02
1984     46         4.00
1984     47         2.00
1984     48         3.00
1984     49         1.00
1984     50         0.00
1984     51         0.00
1984     52         0.00
1984     53         0.00
1984     54         0.00
1984     55+        0.00
1985     12-        0.00
1985     13         0.00
1985     14         3.00
1985     15        28.03
1985     16       125.15
1985     17       442.51
1985     18       824.95
1985     19      1467.69
1985     20      2086.40
1985     21      2456.84
1985     22      2924.38
1985     23      3407.93
1985     24      3614.17
1985     25      4047.67
1985     26      4133.77
1985     27      3928.53
1985     28      3631.19
1985     29      3453.99
1985     30      2992.45
1985     31      2551.94
1985     32      2079.40
1985     33      1618.87
1985     34      1306.51
1985     35      1100.27
1985     36       865.00
1985     37       590.68
1985     38       551.64
1985     39       362.41
1985     40       236.27
1985     41       152.17
1985     42        73.09
1985     43        35.04
1985     44        18.02
1985     45         9.01
1985     46         6.00
1985     47         0.00
