Norway, Female population exposure by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 19/04/2023
Year    Age        Exposure
1967     12        29963.69
1967     13        29705.55
1967     14        29948.81
1967     15        28641.38
1967     16        28828.01
1967     17        29395.87
1967     18        29703.68
1967     19        30752.19
1967     20        32019.22
1967     21        31502.44
1967     22        28846.61
1967     23        27228.54
1967     24        24109.99
1967     25        22102.17
1967     26        20770.23
1967     27        21219.04
1967     28        20769.24
1967     29        20179.58
1967     30        19270.14
1967     31        18752.25
1967     32        18789.64
1967     33        18588.09
1967     34        19430.97
1967     35        20275.84
1967     36        21320.49
1967     37        21022.67
1967     38        21362.33
1967     39        21758.50
1967     40        22425.75
1967     41        23105.25
1967     42        23652.92
1967     43        24872.00
1967     44        25693.92
1967     45        26152.92
1967     46        27438.92
1967     47        26048.08
1967     48        24516.00
1967     49        25296.58
1967     50        24781.17
1967     51        24180.50
1967     52        24043.17
1967     53        23971.83
1967     54        23972.00
1967     55        23642.50
1968     12        30281.32
1968     13        29972.65
1968     14        29705.26
1968     15        29942.95
1968     16        28628.95
1968     17        28851.99
1968     18        29380.55
1968     19        29662.01
1968     20        30690.64
1968     21        31969.90
1968     22        31416.21
1968     23        28782.83
1968     24        27169.83
1968     25        24088.19
1968     26        22083.56
1968     27        20754.33
1968     28        21227.02
1968     29        20781.83
1968     30        20197.87
1968     31        19280.36
1968     32        18762.51
1968     33        18806.85
1968     34        18582.85
1968     35        19429.60
1968     36        20269.84
1968     37        21319.22
1968     38        21020.67
1968     39        21338.75
1968     40        21740.42
1968     41        22413.33
1968     42        23079.00
1968     43        23632.58
1968     44        24836.83
1968     45        25641.00
1968     46        26125.83
1968     47        27385.00
1968     48        25997.83
1968     49        24455.67
1968     50        25230.83
1968     51        24709.42
1968     52        24087.67
1968     53        23944.08
1968     54        23884.92
1968     55        23870.58
1969     12        30247.58
1969     13        30287.29
1969     14        29979.68
1969     15        29701.67
1969     16        29935.68
1969     17        28650.73
1969     18        28866.42
1969     19        29318.64
1969     20        29607.05
1969     21        30660.41
1969     22        31887.79
1969     23        31338.94
1969     24        28722.37
1969     25        27165.40
1969     26        24074.79
1969     27        22076.16
1969     28        20755.90
1969     29        21241.54
1969     30        20789.78
1969     31        20201.45
1969     32        19300.83
1969     33        18779.33
1969     34        18806.25
1969     35        18577.06
1969     36        19422.60
1969     37        20271.78
1969     38        21318.49
1969     39        21016.17
1969     40        21321.92
1969     41        21721.83
1969     42        22397.75
1969     43        23053.08
1969     44        23595.08
1969     45        24773.67
1969     46        25609.67
1969     47        26077.08
1969     48        27332.00
1969     49        25930.42
1969     50        24379.08
1969     51        25151.67
1969     52        24620.83
1969     53        23995.08
1969     54        23858.83
1969     55        23776.00
1970     12        30142.15
1970     13        30253.59
1970     14        30297.32
1970     15        29974.22
1970     16        29684.70
1970     17        29965.64
1970     18        28633.84
1970     19        28747.75
1970     20        29216.53
1970     21        29527.74
1970     22        30537.40
1970     23        31786.24
1970     24        31248.43
1970     25        28680.51
1970     26        27117.16
1970     27        24028.79
1970     28        22042.03
1970     29        20730.24
1970     30        21249.55
1970     31        20779.78
1970     32        20206.01
1970     33        19291.78
1970     34        18772.24
1970     35        18796.91
1970     36        18563.94
1970     37        19417.39
1970     38        20253.29
1970     39        21318.87
1970     40        20991.50
1970     41        21299.67
1970     42        21694.42
1970     43        22375.42
1970     44        23023.58
1970     45        23550.00
1970     46        24723.33
1970     47        25551.50
1970     48        26021.92
1970     49        27251.58
1970     50        25850.25
1970     51        24297.00
1970     52        25067.08
1970     53        24530.92
1970     54        23898.92
1970     55        23745.50
1971     12        29992.06
1971     13        30146.10
1971     14        30260.46
1971     15        30296.40
1971     16        29970.12
1971     17        29730.15
1971     18        29944.86
1971     19        28554.55
1971     20        28662.70
1971     21        29155.99
1971     22        29443.41
1971     23        30482.85
1971     24        31701.38
1971     25        31200.56
1971     26        28619.50
1971     27        27049.20
1971     28        23983.20
1971     29        22002.59
1971     30        20721.73
1971     31        21208.52
1971     32        20756.43
1971     33        20177.43
1971     34        19272.48
1971     35        18756.38
1971     36        18774.15
1971     37        18549.92
1971     38        19394.73
1971     39        20235.91
1971     40        21292.92
1971     41        20972.83
1971     42        21265.42
1971     43        21673.33
1971     44        22345.42
1971     45        22977.83
1971     46        23511.50
1971     47        24681.17
1971     48        25484.25
1971     49        25938.25
1971     50        27176.33
1971     51        25787.25
1971     52        24212.50
1971     53        24981.75
1971     54        24430.67
1971     55        23789.92
1972     12        29744.50
1972     13        30003.84
1972     14        30157.85
1972     15        30271.12
1972     16        30302.26
1972     17        30021.61
1972     18        29753.51
1972     19        29910.83
1972     20        28556.31
1972     21        28646.21
1972     22        29168.88
1972     23        29456.47
1972     24        30462.12
1972     25        31725.96
1972     26        31200.34
1972     27        28609.08
1972     28        27038.74
1972     29        23990.08
1972     30        22011.93
1972     31        20722.34
1972     32        21214.80
1972     33        20773.80
1972     34        20190.21
1972     35        19281.53
1972     36        18751.08
1972     37        18771.57
1972     38        18551.84
1972     39        19383.83
1972     40        20219.75
1972     41        21287.98
1972     42        20946.83
1972     43        21263.58
1972     44        21652.33
1972     45        22304.92
1972     46        22954.25
1972     47        23491.83
1972     48        24629.00
1972     49        25409.58
1972     50        25876.00
1972     51        27120.17
1972     52        25700.75
1972     53        24139.17
1972     54        24888.92
1972     55        24322.67
1973     12        29611.31
1973     13        29770.05
1973     14        30016.12
1973     15        30183.08
1973     16        30273.65
1973     17        30356.30
1973     18        30030.98
1973     19        29720.00
1973     20        29904.37
1973     21        28514.21
1973     22        28655.17
1973     23        29157.40
1973     24        29471.63
1973     25        30494.44
1973     26        31754.73
1973     27        31214.55
1973     28        28639.27
1973     29        27083.04
1973     30        24034.20
1973     31        22053.36
1973     32        20761.72
1973     33        21254.75
1973     34        20803.52
1973     35        20221.89
1973     36        19290.89
1973     37        18755.85
1973     38        18771.07
1973     39        18547.05
1973     40        19390.93
1973     41        20226.23
1973     42        21251.25
1973     43        20945.67
1973     44        21249.67
1973     45        21618.92
1973     46        22278.33
1973     47        22937.75
1973     48        23453.50
1973     49        24575.50
1973     50        25349.50
1973     51        25801.42
1973     52        27032.67
1973     53        25621.08
1973     54        24051.00
1973     55        24790.42
1974     12        29769.77
1974     13        29624.96
1974     14        29766.37
1974     15        30037.37
1974     16        30175.29
1974     17        30323.33
1974     18        30336.16
1974     19        30017.28
1974     20        29686.27
1974     21        29872.39
1974     22        28503.89
1974     23        28672.32
1974     24        29160.35
1974     25        29501.97
1974     26        30528.37
1974     27        31794.74
1974     28        31245.59
1974     29        28655.06
1974     30        27108.44
1974     31        24053.04
1974     32        22068.22
1974     33        20781.89
1974     34        21269.01
1974     35        20818.99
1974     36        20228.47
1974     37        19294.49
1974     38        18753.30
1974     39        18762.72
1974     40        18557.61
1974     41        19377.76
1974     42        20197.53
1974     43        21244.73
1974     44        20927.67
1974     45        21219.83
1974     46        21589.00
1974     47        22249.42
1974     48        22899.83
1974     49        23393.00
1974     50        24512.00
1974     51        25273.50
1974     52        25719.67
1974     53        26942.25
1974     54        25519.58
1974     55        23952.33
1975     12        30331.96
1975     13        29769.28
1975     14        29628.75
1975     15        29764.02
1975     16        30031.20
1975     17        30222.08
1975     18        30339.30
1975     19        30344.91
1975     20        29986.30
1975     21        29668.07
1975     22        29876.88
1975     23        28545.16
1975     24        28685.34
1975     25        29214.37
1975     26        29525.02
1975     27        30539.26
1975     28        31808.86
1975     29        31266.89
1975     30        28676.11
1975     31        27134.00
1975     32        24054.02
1975     33        22099.32
1975     34        20793.33
1975     35        21272.63
1975     36        20849.19
1975     37        20231.87
1975     38        19312.12
1975     39        18746.17
1975     40        18763.30
1975     41        18539.09
1975     42        19360.18
1975     43        20184.13
1975     44        21224.86
1975     45        20884.42
1975     46        21177.17
1975     47        21539.00
1975     48        22215.08
1975     49        22831.58
1975     50        23330.08
1975     51        24447.67
1975     52        25199.33
1975     53        25626.42
1975     54        26825.75
1975     55        25405.67
1976     12        30786.35
1976     13        30353.95
1976     14        29773.54
1976     15        29624.50
1976     16        29771.55
1976     17        30077.04
1976     18        30240.69
1976     19        30333.79
1976     20        30303.67
1976     21        29968.03
1976     22        29665.92
1976     23        29903.84
1976     24        28604.97
1976     25        28718.16
1976     26        29259.54
1976     27        29539.84
1976     28        30567.65
1976     29        31859.28
1976     30        31295.84
1976     31        28715.57
1976     32        27149.32
1976     33        24093.17
1976     34        22123.90
1976     35        20805.26
1976     36        21313.84
1976     37        20856.96
1976     38        20237.89
1976     39        19319.59
1976     40        18754.81
1976     41        18761.93
1976     42        18526.36
1976     43        19342.93
1976     44        20170.43
1976     45        21194.06
1976     46        20847.92
1976     47        21130.25
1976     48        21503.92
1976     49        22162.08
1976     50        22774.08
1976     51        23262.92
1976     52        24373.92
1976     53        25101.17
1976     54        25523.00
1976     55        26705.08
1977     12        31651.74
1977     13        30815.43
1977     14        30353.11
1977     15        29792.23
1977     16        29640.09
1977     17        29822.24
1977     18        30105.81
1977     19        30240.32
1977     20        30316.08
1977     21        30316.19
1977     22        29989.27
1977     23        29722.72
1977     24        29990.42
1977     25        28641.73
1977     26        28767.31
1977     27        29295.19
1977     28        29602.62
1977     29        30620.78
1977     30        31900.09
1977     31        31335.24
1977     32        28734.99
1977     33        27178.80
1977     34        24139.23
1977     35        22135.36
1977     36        20840.86
1977     37        21323.13
1977     38        20858.38
1977     39        20253.18
1977     40        19322.80
1977     41        18747.51
1977     42        18766.27
1977     43        18513.84
1977     44        19339.10
1977     45        20160.92
1977     46        21174.24
1977     47        20812.92
1977     48        21098.25
1977     49        21461.00
1977     50        22115.17
1977     51        22714.17
1977     52        23191.08
1977     53        24286.58
1977     54        25017.00
1977     55        25411.50
1978     12        32075.03
1978     13        31662.20
1978     14        30831.98
1978     15        30376.04
1978     16        29811.67
1978     17        29700.92
1978     18        29872.51
1978     19        30131.78
1978     20        30276.90
1978     21        30325.56
1978     22        30374.35
1978     23        30069.93
1978     24        29802.07
1978     25        30038.65
1978     26        28682.32
1978     27        28797.11
1978     28        29355.76
1978     29        29634.57
1978     30        30658.84
1978     31        31929.69
1978     32        31345.10
1978     33        28757.98
1978     34        27221.93
1978     35        24139.24
1978     36        22161.78
1978     37        20845.33
1978     38        21316.99
1978     39        20853.58
1978     40        20253.38
1978     41        19312.00
1978     42        18744.98
1978     43        18754.81
1978     44        18497.92
1978     45        19324.38
1978     46        20134.85
1978     47        21130.52
1978     48        20782.33
1978     49        21051.00
1978     50        21409.17
1978     51        22051.58
1978     52        22646.92
1978     53        23115.67
1978     54        24210.33
1978     55        24903.25
1979     12        32105.37
1979     13        32075.44
1979     14        31673.04
1979     15        30835.76
1979     16        30406.39
1979     17        29869.59
1979     18        29739.20
1979     19        29906.18
1979     20        30173.42
1979     21        30281.82
1979     22        30364.86
1979     23        30424.44
1979     24        30103.23
1979     25        29815.53
1979     26        30055.10
1979     27        28706.85
1979     28        28831.75
1979     29        29364.78
1979     30        29638.12
1979     31        30660.54
1979     32        31926.42
1979     33        31361.55
1979     34        28777.84
1979     35        27218.90
1979     36        24141.24
1979     37        22165.77
1979     38        20828.21
1979     39        21302.46
1979     40        20845.09
1979     41        20243.70
1979     42        19287.92
1979     43        18727.24
1979     44        18732.46
1979     45        18482.24
1979     46        19291.34
1979     47        20089.89
1979     48        21094.99
1979     49        20740.58
1979     50        20991.25
1979     51        21346.00
1979     52        21989.67
1979     53        22561.08
1979     54        23042.92
1979     55        24104.67
1980     12        32404.16
1980     13        32110.54
1980     14        32085.77
1980     15        31688.41
1980     16        30877.47
1980     17        30475.89
1980     18        29931.03
1980     19        29781.59
1980     20        29938.23
1980     21        30200.04
1980     22        30293.35
1980     23        30403.17
1980     24        30437.60
1980     25        30122.24
1980     26        29828.47
1980     27        30060.17
1980     28        28714.75
1980     29        28838.69
1980     30        29352.53
1980     31        29622.70
1980     32        30666.66
1980     33        31932.77
1980     34        31380.36
1980     35        28790.12
1980     36        27213.33
1980     37        24129.87
1980     38        22147.71
1980     39        20822.47
1980     40        21295.98
1980     41        20822.84
1980     42        20218.19
1980     43        19265.11
1980     44        18716.36
1980     45        18720.24
1980     46        18456.09
1980     47        19249.78
1980     48        20049.61
1980     49        21056.11
1980     50        20691.33
