Sweden, Period fertility rates by calendar year, age and birth order (Lexis squares, age in completed years (ACY))
Last modified: 14/04/2023
Year    Age        ASFR       ASFR1       ASFR2       ASFR3       ASFR4      ASFR5p
1970     12-    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1970     13     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1970     14     0.00034     0.00034     0.00000     0.00000     0.00000     0.00000
1970     15     0.00269     0.00269     0.00000     0.00000     0.00000     0.00000
1970     16     0.01291     0.01270     0.00021     0.00000     0.00000     0.00000
1970     17     0.02991     0.02904     0.00085     0.00002     0.00000     0.00000
1970     18     0.05057     0.04655     0.00392     0.00009     0.00002     0.00000
1970     19     0.06997     0.05816     0.01110     0.00071     0.00000     0.00000
1970     20     0.08941     0.06574     0.02202     0.00161     0.00003     0.00000
1970     21     0.10721     0.06677     0.03638     0.00382     0.00020     0.00003
1970     22     0.12324     0.07013     0.04528     0.00697     0.00078     0.00009
1970     23     0.13637     0.07317     0.05186     0.00986     0.00124     0.00024
1970     24     0.14080     0.06902     0.05534     0.01381     0.00211     0.00052
1970     25     0.14234     0.06509     0.05797     0.01573     0.00303     0.00052
1970     26     0.14066     0.05644     0.05991     0.01910     0.00415     0.00107
1970     27     0.13260     0.04555     0.06038     0.02054     0.00467     0.00145
1970     28     0.11888     0.03384     0.05524     0.02251     0.00514     0.00215
1970     29     0.10485     0.02568     0.04698     0.02307     0.00673     0.00239
1970     30     0.09501     0.02055     0.04092     0.02409     0.00694     0.00251
1970     31     0.07822     0.01435     0.03200     0.02147     0.00694     0.00347
1970     32     0.06854     0.01147     0.02578     0.02027     0.00774     0.00328
1970     33     0.05551     0.00849     0.01863     0.01783     0.00712     0.00345
1970     34     0.04882     0.00674     0.01511     0.01678     0.00651     0.00366
1970     35     0.03989     0.00605     0.01112     0.01207     0.00579     0.00484
1970     36     0.03415     0.00513     0.00857     0.01028     0.00616     0.00400
1970     37     0.02656     0.00369     0.00689     0.00766     0.00457     0.00376
1970     38     0.02145     0.00266     0.00501     0.00612     0.00371     0.00396
1970     39     0.01604     0.00214     0.00329     0.00432     0.00264     0.00365
1970     40     0.01172     0.00160     0.00238     0.00330     0.00186     0.00258
1970     41     0.00835     0.00086     0.00172     0.00193     0.00155     0.00230
1970     42     0.00569     0.00079     0.00124     0.00122     0.00096     0.00148
1970     43     0.00335     0.00027     0.00075     0.00069     0.00056     0.00108
1970     44     0.00195     0.00022     0.00035     0.00033     0.00039     0.00067
1970     45     0.00109     0.00012     0.00014     0.00012     0.00030     0.00042
1970     46     0.00052     0.00008     0.00017     0.00010     0.00000     0.00017
1970     47     0.00023     0.00002     0.00008     0.00006     0.00006     0.00002
1970     48     0.00014     0.00004     0.00000     0.00000     0.00007     0.00004
1970     49     0.00002     0.00002     0.00000     0.00000     0.00000     0.00000
1970     50     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1970     51     0.00002     0.00000     0.00000     0.00002     0.00000     0.00000
1970     52     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1970     53     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1970     54     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1970     55+    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1971     12-    0.00002     0.00002     0.00000     0.00000     0.00000     0.00000
1971     13     0.00004     0.00004     0.00000     0.00000     0.00000     0.00000
1971     14     0.00053     0.00053     0.00000     0.00000     0.00000     0.00000
1971     15     0.00252     0.00250     0.00002     0.00000     0.00000     0.00000
1971     16     0.01239     0.01224     0.00015     0.00000     0.00000     0.00000
1971     17     0.03068     0.02957     0.00111     0.00000     0.00000     0.00000
1971     18     0.05046     0.04683     0.00354     0.00009     0.00000     0.00000
1971     19     0.07373     0.06290     0.01033     0.00047     0.00004     0.00000
1971     20     0.09452     0.07061     0.02263     0.00122     0.00005     0.00000
1971     21     0.11405     0.07606     0.03422     0.00347     0.00030     0.00000
1971     22     0.12881     0.07616     0.04560     0.00633     0.00068     0.00003
