"Country","Year","Age","ASFR"
"FIN",1939,12,0
"FIN",1939,13,0
"FIN",1939,14,3e-05
"FIN",1939,15,0.00026
"FIN",1939,16,0.00174
"FIN",1939,17,0.00825
"FIN",1939,18,0.02578
"FIN",1939,19,0.04886
"FIN",1939,20,0.0771
"FIN",1939,21,0.1023
"FIN",1939,22,0.11775
"FIN",1939,23,0.13171
"FIN",1939,24,0.13746
"FIN",1939,25,0.14298
"FIN",1939,26,0.13963
"FIN",1939,27,0.14139
"FIN",1939,28,0.14061
"FIN",1939,29,0.13454
"FIN",1939,30,0.12945
"FIN",1939,31,0.11755
"FIN",1939,32,0.11333
"FIN",1939,33,0.10541
"FIN",1939,34,0.09914
"FIN",1939,35,0.09473
"FIN",1939,36,0.08492
"FIN",1939,37,0.0827
"FIN",1939,38,0.07548
"FIN",1939,39,0.06908
"FIN",1939,40,0.06155
"FIN",1939,41,0.04882
"FIN",1939,42,0.03943
"FIN",1939,43,0.03033
"FIN",1939,44,0.02285
"FIN",1939,45,0.01314
"FIN",1939,46,0.00668
"FIN",1939,47,0.00261
"FIN",1939,48,0.00132
"FIN",1939,49,0.00062
"FIN",1939,50,2e-04
"FIN",1939,51,0.00015
"FIN",1939,52,0.00015
"FIN",1939,53,0
"FIN",1939,54,0
"FIN",1939,55,6e-05
"FIN",1940,12,0
"FIN",1940,13,0
"FIN",1940,14,0
"FIN",1940,15,0.00027
"FIN",1940,16,0.00151
"FIN",1940,17,0.00692
"FIN",1940,18,0.02029
"FIN",1940,19,0.0445
"FIN",1940,20,0.06393
"FIN",1940,21,0.08319
"FIN",1940,22,0.09841
"FIN",1940,23,0.10593
"FIN",1940,24,0.11308
"FIN",1940,25,0.11973
"FIN",1940,26,0.11762
"FIN",1940,27,0.11687
"FIN",1940,28,0.11148
"FIN",1940,29,0.10874
"FIN",1940,30,0.1071
"FIN",1940,31,0.09905
"FIN",1940,32,0.09424
"FIN",1940,33,0.09041
"FIN",1940,34,0.08521
"FIN",1940,35,0.08125
"FIN",1940,36,0.0759
"FIN",1940,37,0.06681
"FIN",1940,38,0.06425
"FIN",1940,39,0.06144
"FIN",1940,40,0.05434
"FIN",1940,41,0.04571
"FIN",1940,42,0.03572
"FIN",1940,43,0.0295
"FIN",1940,44,0.01884
"FIN",1940,45,0.01246
"FIN",1940,46,0.0066
"FIN",1940,47,0.00309
"FIN",1940,48,0.00136
"FIN",1940,49,0.00035
"FIN",1940,50,0.00036
"FIN",1940,51,0.00026
"FIN",1940,52,5e-05
"FIN",1940,53,1e-04
"FIN",1940,54,0
"FIN",1940,55,0
"FIN",1941,12,0
"FIN",1941,13,0
"FIN",1941,14,0
"FIN",1941,15,0.00018
"FIN",1941,16,0.00096
"FIN",1941,17,0.00601
"FIN",1941,18,0.01894
"FIN",1941,19,0.04073
"FIN",1941,20,0.0759
"FIN",1941,21,0.10393
"FIN",1941,22,0.1277
"FIN",1941,23,0.14754
"FIN",1941,24,0.15747
"FIN",1941,25,0.16975
"FIN",1941,26,0.16742
"FIN",1941,27,0.16832
"FIN",1941,28,0.16348
"FIN",1941,29,0.16434
"FIN",1941,30,0.15806
"FIN",1941,31,0.143
"FIN",1941,32,0.13733
"FIN",1941,33,0.12256
"FIN",1941,34,0.11846
"FIN",1941,35,0.11195
"FIN",1941,36,0.10221
"FIN",1941,37,0.09318
"FIN",1941,38,0.08484
"FIN",1941,39,0.071
"FIN",1941,40,0.0688
"FIN",1941,41,0.05178
"FIN",1941,42,0.04399
"FIN",1941,43,0.03326
"FIN",1941,44,0.02254
"FIN",1941,45,0.01398
"FIN",1941,46,0.00763
"FIN",1941,47,0.00381
"FIN",1941,48,0.00171
"FIN",1941,49,0.00034
"FIN",1941,50,0.00045
"FIN",1941,51,5e-05
"FIN",1941,52,5e-05
"FIN",1941,53,0
"FIN",1941,54,5e-05
"FIN",1941,55,0
"FIN",1942,12,0
"FIN",1942,13,0
"FIN",1942,14,0
"FIN",1942,15,0.00021
"FIN",1942,16,0.00093
"FIN",1942,17,0.00463
"FIN",1942,18,0.01402
"FIN",1942,19,0.02828
"FIN",1942,20,0.04982
"FIN",1942,21,0.07115
"FIN",1942,22,0.08448
"FIN",1942,23,0.09281
"FIN",1942,24,0.10175
"FIN",1942,25,0.1052
"FIN",1942,26,0.11029
"FIN",1942,27,0.10732
"FIN",1942,28,0.10854
"FIN",1942,29,0.1043
"FIN",1942,30,0.10243
