"Year","Age","Births","Country","Exposure"
1939,12,0,"FIN",33236.13
1939,13,0,"FIN",33971.83
1939,14,1.01,"FIN",33758.49
1939,15,9.03,"FIN",34631.34
1939,16,59.21,"FIN",34081.31
1939,17,284.01,"FIN",34426.64
1939,18,903.21,"FIN",35036.54
1939,19,1586.64,"FIN",32470.51
1939,20,2138.61,"FIN",27738.2
1939,21,3239.53,"FIN",31665.48
1939,22,3670.05,"FIN",31169.36
1939,23,4029.33,"FIN",30592.46
1939,24,4443.81,"FIN",32328.2
1939,25,4668.61,"FIN",32652.32
1939,26,4622.44,"FIN",33105.66
1939,27,4751.9,"FIN",33608.19
1939,28,4709.75,"FIN",33496.09
1939,29,4479.94,"FIN",33298.23
1939,30,4304.3,"FIN",33250.46
1939,31,3840.66,"FIN",32671.34
1939,32,3633.92,"FIN",32063.64
1939,33,3196.37,"FIN",30323.72
1939,34,2950.5,"FIN",29761.12
1939,35,2729.71,"FIN",28816.92
1939,36,2323.26,"FIN",27357.71
1939,37,2277.1,"FIN",27536.07
1939,38,2016.17,"FIN",26713.08
1939,39,1812.44,"FIN",26237.99
1939,40,1591.66,"FIN",25861.42
1939,41,1220.34,"FIN",24996.53
1939,42,933.32,"FIN",23669.3
1939,43,709.52,"FIN",23391.45
1939,44,513.83,"FIN",22491.46
1939,45,273.97,"FIN",20846.25
1939,46,135.48,"FIN",20287.49
1939,47,54.19,"FIN",20782.85
1939,48,27.1,"FIN",20519.58
1939,49,12.04,"FIN",19451.25
1939,50,4.01,"FIN",19619.07
1939,51,3.01,"FIN",20285.06
1939,52,3.01,"FIN",19677.15
1939,53,0,"FIN",18680.97
1939,54,0,"FIN",18041.71
1939,55,1,"FIN",17956.35
1940,12,0,"FIN",33575.92
1940,13,0,"FIN",33021.78
1940,14,0,"FIN",33750.34
1940,15,9.03,"FIN",33518.48
1940,16,52.15,"FIN",34604.58
1940,17,235.68,"FIN",34036.01
1940,18,697.02,"FIN",34354.11
1940,19,1556.49,"FIN",34974.57
1940,20,2069.97,"FIN",32379.98
1940,21,2292.61,"FIN",27558.73
1940,22,3098.94,"FIN",31490.07
1940,23,3281.47,"FIN",30977.36
1940,24,3439.93,"FIN",30420.61
1940,25,3846.1,"FIN",32121.88
1940,26,3814.01,"FIN",32427.26
1940,27,3843.09,"FIN",32883.01
1940,28,3722.74,"FIN",33394.08
1940,29,3618.44,"FIN",33277.18
1940,30,3543.22,"FIN",33082.63
1940,31,3279.46,"FIN",33110.8
1940,32,3063.84,"FIN",32511.16
1940,33,2886.33,"FIN",31926.45
1940,34,2572.42,"FIN",30189.63
1940,35,2406.94,"FIN",29623.91
1940,36,2172.27,"FIN",28620.49
1940,37,1814.24,"FIN",27153.28
1940,38,1758.07,"FIN",27363.73
1940,39,1628.7,"FIN",26509.55
1940,40,1415.09,"FIN",26043.62
1940,41,1178.4,"FIN",25778.57
1940,42,889.57,"FIN",24906.47
1940,43,696.01,"FIN",23597.48
1940,44,439.26,"FIN",23321.36
1940,45,278.81,"FIN",22381.02
1940,46,136.4,"FIN",20662.49
1940,47,62.18,"FIN",20128.77
1940,48,28.08,"FIN",20616.1
1940,49,7.02,"FIN",20328.81
1940,50,7.02,"FIN",19257.65
1940,51,5.01,"FIN",19339.22
1940,52,1,"FIN",19969.68
