"Country","Year","TFR"
"FIN",1939,2.55009
"FIN",1940,2.14687
"FIN",1941,2.9037
"FIN",1942,2.00348
"FIN",1943,2.46734
"FIN",1944,2.56495
"FIN",1945,3.08017
"FIN",1946,3.40055
"FIN",1947,3.46288
"FIN",1948,3.45233
"FIN",1949,3.31947
"FIN",1950,3.15242
"FIN",1951,3.00667
"FIN",1952,3.05895
"FIN",1953,2.95327
"FIN",1954,2.93143
"FIN",1955,2.93848
"FIN",1956,2.91957
"FIN",1957,2.86512
"FIN",1958,2.68062
"FIN",1959,2.75613
"FIN",1960,2.72099
"FIN",1961,2.71581
"FIN",1962,2.68427
"FIN",1963,2.68606
"FIN",1964,2.59691
"FIN",1965,2.47883
"FIN",1966,2.40937
"FIN",1967,2.32307
"FIN",1968,2.14033
"FIN",1969,1.92983
"FIN",1970,1.82649
"FIN",1971,1.68451
"FIN",1972,1.57649
"FIN",1973,1.49158
"FIN",1974,1.61303
"FIN",1975,1.6808
"FIN",1976,1.70371
"FIN",1977,1.67946
"FIN",1978,1.64333
"FIN",1979,1.63581
"FIN",1980,1.63187
"FIN",1981,1.64463
"FIN",1982,1.71514
"FIN",1983,1.7365
"FIN",1984,1.69425
"FIN",1985,1.64264
"FIN",1986,1.59679
"FIN",1987,1.58641
"FIN",1988,1.69285
"FIN",1989,1.7082
"FIN",1990,1.78193
"FIN",1991,1.79419
"FIN",1992,1.84775
"FIN",1993,1.81386
"FIN",1994,1.84572
"FIN",1995,1.80697
"FIN",1996,1.76359
"FIN",1997,1.74636
"FIN",1998,1.70008
"FIN",1999,1.73472
"FIN",2000,1.72876
"FIN",2001,1.72589
"FIN",2002,1.71795
"FIN",2003,1.75943
"FIN",2004,1.80001
"FIN",2005,1.80287
"FIN",2006,1.83689
"FIN",2007,1.82941
"FIN",2008,1.8466
"FIN",2009,1.86454
"FIN",2010,1.87009
"FIN",2011,1.82687
"FIN",2012,1.80056
"FIN",2013,1.74746
"FIN",2014,1.71059
"FIN",2015,1.64954
"FIN",2016,1.56738
"FIN",2017,1.48971
"FIN",2018,1.40703
"FIN",2019,1.34736
"FIN",2020,1.37025
"FIN",2021,1.45749
"FIN",2022,1.3154
"SWE",1891,4.14217
"SWE",1892,3.96638
"SWE",1893,4.03898
"SWE",1894,4.01949
"SWE",1895,4.08339
"SWE",1896,4.04751
"SWE",1897,3.97712
"SWE",1898,4.04268
"SWE",1899,3.92859
"SWE",1900,4.01345
"SWE",1901,4.00856
"SWE",1902,3.92626
"SWE",1903,3.81062
"SWE",1904,3.81433
"SWE",1905,3.79582
"SWE",1906,3.78921
"SWE",1907,3.75108
"SWE",1908,3.75406
"SWE",1909,3.72585
"SWE",1910,3.56996
"SWE",1911,3.45032
"SWE",1912,3.40078
"SWE",1913,3.2901
"SWE",1914,3.22864
"SWE",1915,3.03278
"SWE",1916,2.95924
"SWE",1917,2.89868
"SWE",1918,2.80344
"SWE",1919,2.70469
"SWE",1920,3.1976
"SWE",1921,2.90208
"SWE",1922,2.63017
"SWE",1923,2.5242
"SWE",1924,2.40065
"SWE",1925,2.30892
"SWE",1926,2.19287
"SWE",1927,2.08041
"SWE",1928,2.05396
"SWE",1929,1.92565
"SWE",1930,1.9314
"SWE",1931,1.84671
"SWE",1932,1.79932
"SWE",1933,1.68813
"SWE",1934,1.67592
"SWE",1935,1.67647
"SWE",1936,1.7256
"SWE",1937,1.74469
"SWE",1938,1.80509
"SWE",1939,1.86214
"SWE",1940,1.82425
"SWE",1941,1.89443
"SWE",1942,2.16286
"SWE",1943,2.38161
"SWE",1944,2.56963
"SWE",1945,2.58751
"SWE",1946,2.54279
"SWE",1947,2.48098
"SWE",1948,2.4544
"SWE",1949,2.36858
"SWE",1950,2.28014
