"Country","Year","TFR","origin_year","origin_year_test","cv_id","series_year","years_since_test_start","cv_sample"
"FIN",1939,2.55009,1939,1969,1,1,-30,"training"
"FIN",1940,2.14687,1939,1969,1,2,-29,"training"
"FIN",1941,2.9037,1939,1969,1,3,-28,"training"
"FIN",1942,2.00348,1939,1969,1,4,-27,"training"
"FIN",1943,2.46734,1939,1969,1,5,-26,"training"
"FIN",1944,2.56495,1939,1969,1,6,-25,"training"
"FIN",1945,3.08017,1939,1969,1,7,-24,"training"
"FIN",1946,3.40055,1939,1969,1,8,-23,"training"
"FIN",1947,3.46288,1939,1969,1,9,-22,"training"
"FIN",1948,3.45233,1939,1969,1,10,-21,"training"
"FIN",1949,3.31947,1939,1969,1,11,-20,"training"
"FIN",1950,3.15242,1939,1969,1,12,-19,"training"
"FIN",1951,3.00667,1939,1969,1,13,-18,"training"
"FIN",1952,3.05895,1939,1969,1,14,-17,"training"
"FIN",1953,2.95327,1939,1969,1,15,-16,"training"
"FIN",1954,2.93143,1939,1969,1,16,-15,"training"
"FIN",1955,2.93848,1939,1969,1,17,-14,"training"
"FIN",1956,2.91957,1939,1969,1,18,-13,"training"
"FIN",1957,2.86512,1939,1969,1,19,-12,"training"
"FIN",1958,2.68062,1939,1969,1,20,-11,"training"
"FIN",1959,2.75613,1939,1969,1,21,-10,"training"
"FIN",1960,2.72099,1939,1969,1,22,-9,"training"
"FIN",1961,2.71581,1939,1969,1,23,-8,"training"
"FIN",1962,2.68427,1939,1969,1,24,-7,"training"
"FIN",1963,2.68606,1939,1969,1,25,-6,"training"
"FIN",1964,2.59691,1939,1969,1,26,-5,"training"
"FIN",1965,2.47883,1939,1969,1,27,-4,"training"
"FIN",1966,2.40937,1939,1969,1,28,-3,"training"
"FIN",1967,2.32307,1939,1969,1,29,-2,"training"
"FIN",1968,2.14033,1939,1969,1,30,-1,"training"
"FIN",1969,1.92983,1939,1969,1,31,0,"test"
"FIN",1970,1.82649,1939,1969,1,32,1,"test"
"FIN",1971,1.68451,1939,1969,1,33,2,"test"
"FIN",1972,1.57649,1939,1969,1,34,3,"test"
"FIN",1973,1.49158,1939,1969,1,35,4,"test"
"FIN",1974,1.61303,1939,1969,1,36,5,"test"
"FIN",1975,1.6808,1939,1969,1,37,6,"test"
"FIN",1976,1.70371,1939,1969,1,38,7,"test"
"FIN",1977,1.67946,1939,1969,1,39,8,"test"
"FIN",1978,1.64333,1939,1969,1,40,9,"test"
"FIN",1979,1.63581,1939,1969,1,41,10,"test"
"FIN",1980,1.63187,1939,1969,1,42,11,"test"
"FIN",1981,1.64463,1939,1969,1,43,12,"test"
"FIN",1982,1.71514,1939,1969,1,44,13,"test"
"FIN",1983,1.7365,1939,1969,1,45,14,"test"
"FIN",1984,1.69425,1939,1969,1,46,15,"test"
"FIN",1985,1.64264,1939,1969,1,47,16,"test"
"FIN",1986,1.59679,1939,1969,1,48,17,"test"
"FIN",1987,1.58641,1939,1969,1,49,18,"test"
"FIN",1988,1.69285,1939,1969,1,50,19,"test"
"FIN",1989,1.7082,1939,1969,1,51,20,"test"
"FIN",1990,1.78193,1939,1969,1,52,21,"test"
"FIN",1991,1.79419,1939,1969,1,53,22,"test"
"FIN",1992,1.84775,1939,1969,1,54,23,"test"
"FIN",1993,1.81386,1939,1969,1,55,24,"test"
"FIN",1994,1.84572,1939,1969,1,56,25,"test"
"FIN",1995,1.80697,1939,1969,1,57,26,"test"
"FIN",1996,1.76359,1939,1969,1,58,27,"test"
"FIN",1997,1.74636,1939,1969,1,59,28,"test"
"FIN",1998,1.70008,1939,1969,1,60,29,"test"
"FIN",1940,2.14687,1940,1970,2,1,-30,"training"
"FIN",1941,2.9037,1940,1970,2,2,-29,"training"
"FIN",1942,2.00348,1940,1970,2,3,-28,"training"
"FIN",1943,2.46734,1940,1970,2,4,-27,"training"
"FIN",1944,2.56495,1940,1970,2,5,-26,"training"
"FIN",1945,3.08017,1940,1970,2,6,-25,"training"
"FIN",1946,3.40055,1940,1970,2,7,-24,"training"
"FIN",1947,3.46288,1940,1970,2,8,-23,"training"
"FIN",1948,3.45233,1940,1970,2,9,-22,"training"
"FIN",1949,3.31947,1940,1970,2,10,-21,"training"
"FIN",1950,3.15242,1940,1970,2,11,-20,"training"
"FIN",1951,3.00667,1940,1970,2,12,-19,"training"
"FIN",1952,3.05895,1940,1970,2,13,-18,"training"
"FIN",1953,2.95327,1940,1970,2,14,-17,"training"
"FIN",1954,2.93143,1940,1970,2,15,-16,"training"
"FIN",1955,2.93848,1940,1970,2,16,-15,"training"
"FIN",1956,2.91957,1940,1970,2,17,-14,"training"
"FIN",1957,2.86512,1940,1970,2,18,-13,"training"
"FIN",1958,2.68062,1940,1970,2,19,-12,"training"
"FIN",1959,2.75613,1940,1970,2,20,-11,"training"
"FIN",1960,2.72099,1940,1970,2,21,-10,"training"
"FIN",1961,2.71581,1940,1970,2,22,-9,"training"
"FIN",1962,2.68427,1940,1970,2,23,-8,"training"
"FIN",1963,2.68606,1940,1970,2,24,-7,"training"
"FIN",1964,2.59691,1940,1970,2,25,-6,"training"
"FIN",1965,2.47883,1940,1970,2,26,-5,"training"
"FIN",1966,2.40937,1940,1970,2,27,-4,"training"
"FIN",1967,2.32307,1940,1970,2,28,-3,"training"
"FIN",1968,2.14033,1940,1970,2,29,-2,"training"
"FIN",1969,1.92983,1940,1970,2,30,-1,"training"
"FIN",1970,1.82649,1940,1970,2,31,0,"test"
"FIN",1971,1.68451,1940,1970,2,32,1,"test"
"FIN",1972,1.57649,1940,1970,2,33,2,"test"
"FIN",1973,1.49158,1940,1970,2,34,3,"test"
"FIN",1974,1.61303,1940,1970,2,35,4,"test"
"FIN",1975,1.6808,1940,1970,2,36,5,"test"
"FIN",1976,1.70371,1940,1970,2,37,6,"test"
"FIN",1977,1.67946,1940,1970,2,38,7,"test"
"FIN",1978,1.64333,1940,1970,2,39,8,"test"
"FIN",1979,1.63581,1940,1970,2,40,9,"test"
"FIN",1980,1.63187,1940,1970,2,41,10,"test"
"FIN",1981,1.64463,1940,1970,2,42,11,"test"
"FIN",1982,1.71514,1940,1970,2,43,12,"test"
"FIN",1983,1.7365,1940,1970,2,44,13,"test"
"FIN",1984,1.69425,1940,1970,2,45,14,"test"
"FIN",1985,1.64264,1940,1970,2,46,15,"test"
"FIN",1986,1.59679,1940,1970,2,47,16,"test"
"FIN",1987,1.58641,1940,1970,2,48,17,"test"
"FIN",1988,1.69285,1940,1970,2,49,18,"test"
"FIN",1989,1.7082,1940,1970,2,50,19,"test"
"FIN",1990,1.78193,1940,1970,2,51,20,"test"
"FIN",1991,1.79419,1940,1970,2,52,21,"test"
"FIN",1992,1.84775,1940,1970,2,53,22,"test"
"FIN",1993,1.81386,1940,1970,2,54,23,"test"
"FIN",1994,1.84572,1940,1970,2,55,24,"test"
"FIN",1995,1.80697,1940,1970,2,56,25,"test"
"FIN",1996,1.76359,1940,1970,2,57,26,"test"
"FIN",1997,1.74636,1940,1970,2,58,27,"test"
"FIN",1998,1.70008,1940,1970,2,59,28,"test"
"FIN",1999,1.73472,1940,1970,2,60,29,"test"
"FIN",1941,2.9037,1941,1971,3,1,-30,"training"
"FIN",1942,2.00348,1941,1971,3,2,-29,"training"
"FIN",1943,2.46734,1941,1971,3,3,-28,"training"
"FIN",1944,2.56495,1941,1971,3,4,-27,"training"
"FIN",1945,3.08017,1941,1971,3,5,-26,"training"
"FIN",1946,3.40055,1941,1971,3,6,-25,"training"
"FIN",1947,3.46288,1941,1971,3,7,-24,"training"
"FIN",1948,3.45233,1941,1971,3,8,-23,"training"
"FIN",1949,3.31947,1941,1971,3,9,-22,"training"
"FIN",1950,3.15242,1941,1971,3,10,-21,"training"
"FIN",1951,3.00667,1941,1971,3,11,-20,"training"
"FIN",1952,3.05895,1941,1971,3,12,-19,"training"
"FIN",1953,2.95327,1941,1971,3,13,-18,"training"
"FIN",1954,2.93143,1941,1971,3,14,-17,"training"
"FIN",1955,2.93848,1941,1971,3,15,-16,"training"
"FIN",1956,2.91957,1941,1971,3,16,-15,"training"
"FIN",1957,2.86512,1941,1971,3,17,-14,"training"
